,Probability_Home_win,Probability_Draw,Probability_Away_win,home_team,away_team,Pinnacle Closing Home Win Odds,Pinnacle Closing Draw Odds,Pinnacle Closing Away Win Odds,implied home win prob,implied draw prob,implied away win prob,Total_implied_probability,match_result,Correct_EV_Home_Win,Correct_EV_Draw,Correct_EV_Away_Win,Highest_EV_Bet,Highest_EV_Value,Best_Bet_Odds,Best_Bet_Type,Best_Bet_Outcome,Positive_EV_Outcomes,implied_match_result
0,0.0458554747479971,0.2045300199071396,0.7496145053448632,burnley,manchester city,9.62,5.81,1.33,10.395010395010395,17.211703958691913,75.18796992481202,102.79468427851432,2,-5.58870332924268,1.8831941566048096,-0.030127078913319227,Correct_EV_Draw,1.8831941566048096,,No Bet,0.0,-10.0,2
1,0.8258949755556287,0.1402196944643799,0.0338853299799913,arsenal,nott'ham forest,1.19,8.0,16.0,84.03361344537815,12.5,6.25,102.78361344537815,0,-0.17184979088801833,1.2175755571503917,-4.578347203201392,Correct_EV_Draw,1.2175755571503917,,No Bet,0.0,-10.0,0
2,0.3093623294130542,0.2762779216418019,0.414359748945144,bournemouth,west ham,2.75,3.6,2.63,36.36363636363637,27.77777777777778,38.02281368821293,102.16422782962707,1,-1.4925359411410097,-0.05399482089513086,0.8976613972572869,Correct_EV_Away_Win,0.8976613972572869,,No Bet,0.0,-10.0,2
3,0.721344524590572,0.1731055204747459,0.1055499549346822,brighton,luton town,1.27,6.36,11.36,78.74015748031495,15.723270440251572,8.802816901408452,103.26624482197496,0,-0.8389245376997356,1.009511102193839,1.990474880579896,Correct_EV_Away_Win,1.990474880579896,,No Bet,0.0,-20.0,0
4,0.3695553009920968,0.278769859235091,0.351674839772812,everton,fulham,2.39,3.32,3.3,41.84100418410041,30.120481927710845,30.303030303030305,102.26451641484155,2,-1.1676283062888837,-0.7448406733949788,1.6052697125027962,Correct_EV_Away_Win,1.6052697125027962,,No Bet,0.0,23.0,0
5,0.6741743617342731,0.1713023864873718,0.154523251778355,newcastle utd,aston villa,1.68,4.2,5.29,59.523809523809526,23.809523809523807,18.90359168241966,102.23692501575299,0,1.326129277135788,-2.805299767530383,-1.8257199809250215,Correct_EV_Home_Win,1.326129277135788,,No Bet,0.0,6.800000000000001,0
6,0.2653047423936845,0.2368867937998177,0.4978084638064977,sheffield utd,crystal palace,3.98,3.22,2.17,25.125628140703515,31.05590062111801,46.08294930875576,102.26447807057728,2,0.5591287472686446,-2.3722452396458698,0.8024436646009994,Correct_EV_Away_Win,0.8024436646009994,,No Bet,0.0,1.6999999999999993,2
7,0.3832558598726858,0.2644620528462371,0.3522820872810769,brentford,tottenham,2.62,3.54,2.8,38.167938931297705,28.24858757062147,35.714285714285715,102.1308122162049,1,0.04130352866437015,-0.6380433292432075,-0.1361015561298471,Correct_EV_Home_Win,0.04130352866437015,,No Bet,0.0,-10.0,0
8,0.3239020203893045,0.2225820134254942,0.4535159661852012,chelsea,liverpool,3.21,3.89,2.2,31.15264797507788,25.70694087403599,45.45454545454545,102.31413430365933,1,0.3972548544966745,-1.3415596777482754,-0.02264874392557381,Correct_EV_Home_Win,0.3972548544966745,,No Bet,0.0,-10.0,2
9,0.7616449244435528,0.1652739479481567,0.0730811276082905,manchester utd,wolves,1.27,6.3,12.25,78.74015748031495,15.873015873015872,8.16326530612245,102.77643865945328,0,-0.3271094595668793,0.4122587207338704,-1.0475618679844132,Correct_EV_Draw,0.4122587207338704,,No Bet,0.0,-10.0,0
10,0.4744653861291975,0.3013897470912522,0.2241448667795502,nott'ham forest,sheffield utd,1.94,3.51,4.48,51.54639175257733,28.49002849002849,22.32142857142857,102.35784881403438,0,-0.7953715090935702,0.5787801229029519,0.04169003172385022,Correct_EV_Draw,0.5787801229029519,,No Bet,0.0,-20.0,0
11,0.3181598987905773,0.3013711274476262,0.3804689737617964,fulham,brentford,2.87,3.22,2.75,34.843205574912886,31.05590062111801,36.36363636363637,102.26274255966726,2,-0.8688109047104291,-0.2958496961864361,0.4628967784493998,Correct_EV_Away_Win,0.4628967784493998,,No Bet,0.0,17.5,2
12,0.8184921119521098,0.1388309190534545,0.0426769689944357,liverpool,bournemouth,1.2,8.25,13.0,83.33333333333334,12.121212121212121,7.6923076923076925,103.14685314685316,0,-0.17809465657468282,1.4535508219099942,-4.451994030723358,Correct_EV_Draw,1.4535508219099942,,No Bet,0.0,-10.0,0
13,0.6638224191011032,0.1863576154778321,0.1498199654210647,manchester city,newcastle utd,1.87,3.84,4.37,53.475935828877,26.041666666666668,22.88329519450801,102.40089769005168,0,2.4134792371906304,-2.843867565651246,-3.4528675110994724,Correct_EV_Home_Win,2.4134792371906304,,No Bet,0.0,8.700000000000003,0
14,0.3833566142715048,0.1986679122345531,0.4179754734939421,tottenham,manchester utd,3.07,3.87,2.28,32.57328990228013,25.839793281653744,43.85964912280702,102.27273230674089,0,1.7690480581351968,-2.311551796522794,-0.4701592043381222,Correct_EV_Home_Win,1.7690480581351968,,No Bet,0.0,20.7,2
15,0.262989013998897,0.2156610926618702,0.5213498933392327,wolves,brighton,4.11,4.21,1.83,24.330900243309,23.752969121140143,54.64480874316939,102.72867810761853,2,0.8088484753546688,-0.9206679989352651,-0.4592969518920418,Correct_EV_Home_Win,0.8088484753546688,,No Bet,0.0,-10.0,2
