league,season,game,date,home_team,away_team,FTHG,FTAG,FTR,HR,AR,PSCH,PSCD,PSCA,H_Elo,A_Elo
ENG-Premier League,1819,2018-08-10 Man United-Leicester,2018-08-10 12:00:00,Man United,Leicester,2,1,H,0,0,1.55,4.07,7.69,,
ENG-Premier League,1819,2018-08-11 Bournemouth-Cardiff,2018-08-11 12:00:00,Bournemouth,Cardiff,2,0,H,0,0,1.88,3.61,4.7,,
ENG-Premier League,1819,2018-08-11 Fulham-Crystal Palace,2018-08-11 12:00:00,Fulham,Crystal Palace,0,2,A,0,0,2.62,3.38,2.9,,
ENG-Premier League,1819,2018-08-11 Huddersfield-Chelsea,2018-08-11 12:00:00,Huddersfield,Chelsea,0,3,A,0,0,7.24,3.95,1.58,,
ENG-Premier League,1819,2018-08-11 Newcastle-Tottenham,2018-08-11 12:00:00,Newcastle,Tottenham,1,2,A,0,0,4.74,3.53,1.89,,
ENG-Premier League,1819,2018-08-11 Watford-Brighton,2018-08-11 12:00:00,Watford,Brighton,2,0,H,0,0,2.58,3.08,3.22,,
ENG-Premier League,1819,2018-08-11 Wolves-Everton,2018-08-11 12:00:00,Wolves,Everton,2,2,D,0,1,2.44,3.23,3.32,,
ENG-Premier League,1819,2018-08-12 Arsenal-Man City,2018-08-12 12:00:00,Arsenal,Man City,0,2,A,0,0,4.43,4.13,1.81,,
ENG-Premier League,1819,2018-08-12 Liverpool-West Ham,2018-08-12 12:00:00,Liverpool,West Ham,4,0,H,0,0,1.25,6.95,12.0,,
ENG-Premier League,1819,2018-08-12 Southampton-Burnley,2018-08-12 12:00:00,Southampton,Burnley,0,0,D,0,0,2.03,3.19,4.65,,
ENG-Premier League,1819,2018-08-18 Cardiff-Newcastle,2018-08-18 12:00:00,Cardiff,Newcastle,0,0,D,0,1,3.27,3.21,2.47,,
ENG-Premier League,1819,2018-08-18 Chelsea-Arsenal,2018-08-18 12:00:00,Chelsea,Arsenal,3,2,H,0,0,1.83,3.84,4.64,,
ENG-Premier League,1819,2018-08-18 Everton-Southampton,2018-08-18 12:00:00,Everton,Southampton,2,1,H,0,0,1.84,3.63,4.92,,
ENG-Premier League,1819,2018-08-18 Leicester-Wolves,2018-08-18 12:00:00,Leicester,Wolves,2,0,H,1,0,2.14,3.41,3.81,,
ENG-Premier League,1819,2018-08-18 Tottenham-Fulham,2018-08-18 12:00:00,Tottenham,Fulham,3,1,H,0,0,1.27,6.5,11.96,,
ENG-Premier League,1819,2018-08-18 West Ham-Bournemouth,2018-08-18 12:00:00,West Ham,Bournemouth,1,2,A,0,0,2.1,3.6,3.74,,
ENG-Premier League,1819,2018-08-19 Brighton-Man United,2018-08-19 12:00:00,Brighton,Man United,3,2,H,0,0,5.9,3.7,1.71,,
ENG-Premier League,1819,2018-08-19 Burnley-Watford,2018-08-19 12:00:00,Burnley,Watford,1,3,A,0,0,2.48,3.11,3.36,,
ENG-Premier League,1819,2018-08-19 Man City-Huddersfield,2018-08-19 12:00:00,Man City,Huddersfield,6,1,H,0,0,1.08,13.93,36.05,,
ENG-Premier League,1819,2018-08-20 Crystal Palace-Liverpool,2018-08-20 12:00:00,Crystal Palace,Liverpool,0,2,A,1,0,8.01,5.28,1.41,,
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham,2018-08-25 12:00:00,Arsenal,West Ham,3,1,H,0,0,1.37,5.65,8.67,,
ENG-Premier League,1819,2018-08-25 Bournemouth-Everton,2018-08-25 12:00:00,Bournemouth,Everton,2,2,D,1,1,2.68,3.51,2.75,,
ENG-Premier League,1819,2018-08-25 Huddersfield-Cardiff,2018-08-25 12:00:00,Huddersfield,Cardiff,0,0,D,1,0,2.46,3.03,3.5,,
ENG-Premier League,1819,2018-08-25 Liverpool-Brighton,2018-08-25 12:00:00,Liverpool,Brighton,1,0,H,0,0,1.15,9.48,22.0,,
ENG-Premier League,1819,2018-08-25 Southampton-Leicester,2018-08-25 12:00:00,Southampton,Leicester,1,2,A,1,0,2.35,3.28,3.44,,
ENG-Premier League,1819,2018-08-25 Wolves-Man City,2018-08-25 12:00:00,Wolves,Man City,1,1,D,0,0,12.01,5.82,1.3,,
ENG-Premier League,1819,2018-08-26 Fulham-Burnley,2018-08-26 12:00:00,Fulham,Burnley,4,2,H,0,0,2.26,3.23,3.71,,
ENG-Premier League,1819,2018-08-26 Newcastle-Chelsea,2018-08-26 12:00:00,Newcastle,Chelsea,1,2,A,0,0,6.66,4.25,1.57,,
ENG-Premier League,1819,2018-08-26 Watford-Crystal Palace,2018-08-26 12:00:00,Watford,Crystal Palace,2,1,H,0,0,2.37,3.37,3.3,,
ENG-Premier League,1819,2018-08-27 Man United-Tottenham,2018-08-27 12:00:00,Man United,Tottenham,0,3,A,0,0,2.62,3.35,2.93,,
ENG-Premier League,1819,2018-09-01 Brighton-Fulham,2018-09-01 12:00:00,Brighton,Fulham,2,2,D,0,0,2.17,3.52,3.61,,
ENG-Premier League,1819,2018-09-01 Chelsea-Bournemouth,2018-09-01 12:00:00,Chelsea,Bournemouth,2,0,H,0,0,1.32,5.98,10.48,,
ENG-Premier League,1819,2018-09-01 Crystal Palace-Southampton,2018-09-01 12:00:00,Crystal Palace,Southampton,0,2,A,0,0,2.58,3.18,3.11,,
ENG-Premier League,1819,2018-09-01 Everton-Huddersfield,2018-09-01 12:00:00,Everton,Huddersfield,1,1,D,0,0,1.57,3.96,7.47,,
ENG-Premier League,1819,2018-09-01 Leicester-Liverpool,2018-09-01 12:00:00,Leicester,Liverpool,1,2,A,0,0,8.17,4.75,1.45,,
ENG-Premier League,1819,2018-09-01 Man City-Newcastle,2018-09-01 12:00:00,Man City,Newcastle,2,1,H,0,0,1.12,10.43,29.28,,
ENG-Premier League,1819,2018-09-01 West Ham-Wolves,2018-09-01 12:00:00,West Ham,Wolves,0,1,A,0,0,2.6,3.26,3.02,,
ENG-Premier League,1819,2018-09-02 Burnley-Man United,2018-09-02 12:00:00,Burnley,Man United,0,2,A,0,1,6.72,4.02,1.6,,
ENG-Premier League,1819,2018-09-02 Cardiff-Arsenal,2018-09-02 12:00:00,Cardiff,Arsenal,2,3,A,0,0,6.34,4.47,1.56,,
ENG-Premier League,1819,2018-09-02 Watford-Tottenham,2018-09-02 12:00:00,Watford,Tottenham,2,1,H,0,0,5.6,3.97,1.69,,
ENG-Premier League,1819,2018-09-15 Bournemouth-Leicester,2018-09-15 12:00:00,Bournemouth,Leicester,4,2,H,0,1,2.46,3.35,3.17,,
ENG-Premier League,1819,2018-09-15 Chelsea-Cardiff,2018-09-15 12:00:00,Chelsea,Cardiff,4,1,H,0,0,1.14,8.85,23.0,,
ENG-Premier League,1819,2018-09-15 Huddersfield-Crystal Palace,2018-09-15 12:00:00,Huddersfield,Crystal Palace,0,1,A,0,0,3.47,3.22,2.37,,
ENG-Premier League,1819,2018-09-15 Man City-Fulham,2018-09-15 12:00:00,Man City,Fulham,3,0,H,0,0,1.1,12.75,25.0,,
ENG-Premier League,1819,2018-09-15 Newcastle-Arsenal,2018-09-15 12:00:00,Newcastle,Arsenal,1,2,A,0,0,4.46,3.86,1.86,,
ENG-Premier League,1819,2018-09-15 Tottenham-Liverpool,2018-09-15 12:00:00,Tottenham,Liverpool,1,2,A,0,0,3.14,3.57,2.37,,
ENG-Premier League,1819,2018-09-15 Watford-Man United,2018-09-15 12:00:00,Watford,Man United,1,2,A,0,1,4.8,3.68,1.85,,
ENG-Premier League,1819,2018-09-16 Everton-West Ham,2018-09-16 12:00:00,Everton,West Ham,1,3,A,0,0,2.17,3.42,3.74,,
ENG-Premier League,1819,2018-09-16 Wolves-Burnley,2018-09-16 12:00:00,Wolves,Burnley,1,0,H,0,0,1.75,3.65,5.75,,
ENG-Premier League,1819,2018-09-17 Southampton-Brighton,2018-09-17 12:00:00,Southampton,Brighton,2,2,D,0,0,2.06,3.34,4.17,,
ENG-Premier League,1819,2018-09-22 Brighton-Tottenham,2018-09-22 12:00:00,Brighton,Tottenham,1,2,A,0,0,5.52,3.99,1.7,,
ENG-Premier League,1819,2018-09-22 Burnley-Bournemouth,2018-09-22 12:00:00,Burnley,Bournemouth,4,0,H,0,0,3.38,3.38,2.34,,
ENG-Premier League,1819,2018-09-22 Cardiff-Man City,2018-09-22 12:00:00,Cardiff,Man City,0,5,A,0,0,21.63,8.65,1.15,,
ENG-Premier League,1819,2018-09-22 Crystal Palace-Newcastle,2018-09-22 12:00:00,Crystal Palace,Newcastle,0,0,D,0,0,2.15,3.29,3.9,,
ENG-Premier League,1819,2018-09-22 Fulham-Watford,2018-09-22 12:00:00,Fulham,Watford,1,1,D,0,0,2.86,3.45,2.64,,
ENG-Premier League,1819,2018-09-22 Leicester-Huddersfield,2018-09-22 12:00:00,Leicester,Huddersfield,3,1,H,0,0,1.72,3.67,5.91,,
ENG-Premier League,1819,2018-09-22 Liverpool-Southampton,2018-09-22 12:00:00,Liverpool,Southampton,3,0,H,0,0,1.2,7.28,15.97,,
ENG-Premier League,1819,2018-09-22 Man United-Wolves,2018-09-22 12:00:00,Man United,Wolves,1,1,D,0,0,1.6,3.85,6.81,,
ENG-Premier League,1819,2018-09-23 Arsenal-Everton,2018-09-23 12:00:00,Arsenal,Everton,2,0,H,0,0,1.4,5.46,7.94,,
ENG-Premier League,1819,2018-09-23 West Ham-Chelsea,2018-09-23 12:00:00,West Ham,Chelsea,0,0,D,0,0,6.86,4.73,1.5,,
ENG-Premier League,1819,2018-09-29 Arsenal-Watford,2018-09-29 12:00:00,Arsenal,Watford,2,0,H,0,0,1.49,4.88,6.75,,
ENG-Premier League,1819,2018-09-29 Chelsea-Liverpool,2018-09-29 12:00:00,Chelsea,Liverpool,1,1,D,0,0,2.83,3.51,2.63,,
ENG-Premier League,1819,2018-09-29 Everton-Fulham,2018-09-29 12:00:00,Everton,Fulham,3,0,H,0,0,1.65,4.32,5.49,,
ENG-Premier League,1819,2018-09-29 Huddersfield-Tottenham,2018-09-29 12:00:00,Huddersfield,Tottenham,0,2,A,0,0,6.19,3.88,1.66,,
ENG-Premier League,1819,2018-09-29 Man City-Brighton,2018-09-29 12:00:00,Man City,Brighton,2,0,H,0,0,1.1,11.74,28.42,,
ENG-Premier League,1819,2018-09-29 Newcastle-Leicester,2018-09-29 12:00:00,Newcastle,Leicester,0,2,A,0,0,2.86,3.13,2.82,,
ENG-Premier League,1819,2018-09-29 West Ham-Man United,2018-09-29 12:00:00,West Ham,Man United,3,1,H,0,0,4.08,3.56,2.03,,
ENG-Premier League,1819,2018-09-29 Wolves-Southampton,2018-09-29 12:00:00,Wolves,Southampton,2,0,H,0,0,1.96,3.48,4.5,,
ENG-Premier League,1819,2018-09-30 Cardiff-Burnley,2018-09-30 12:00:00,Cardiff,Burnley,1,2,A,0,0,2.5,3.16,3.32,,
ENG-Premier League,1819,2018-10-01 Bournemouth-Crystal Palace,2018-10-01 12:00:00,Bournemouth,Crystal Palace,2,1,H,0,0,2.33,3.52,3.27,,
ENG-Premier League,1819,2018-10-05 Brighton-West Ham,2018-10-05 12:00:00,Brighton,West Ham,1,0,H,0,0,2.77,3.24,2.87,,
ENG-Premier League,1819,2018-10-06 Burnley-Huddersfield,2018-10-06 12:00:00,Burnley,Huddersfield,1,1,D,0,0,2.39,2.99,3.75,,
ENG-Premier League,1819,2018-10-06 Crystal Palace-Wolves,2018-10-06 12:00:00,Crystal Palace,Wolves,0,1,A,0,0,2.85,3.26,2.77,,
ENG-Premier League,1819,2018-10-06 Leicester-Everton,2018-10-06 12:00:00,Leicester,Everton,1,2,A,1,0,2.32,3.28,3.49,,
ENG-Premier League,1819,2018-10-06 Man United-Newcastle,2018-10-06 12:00:00,Man United,Newcastle,3,2,H,0,0,1.4,4.75,10.06,,
ENG-Premier League,1819,2018-10-06 Tottenham-Cardiff,2018-10-06 12:00:00,Tottenham,Cardiff,1,0,H,0,1,1.25,6.6,12.33,,
ENG-Premier League,1819,2018-10-06 Watford-Bournemouth,2018-10-06 12:00:00,Watford,Bournemouth,0,4,A,1,0,2.17,3.47,3.69,,
ENG-Premier League,1819,2018-10-07 Fulham-Arsenal,2018-10-07 12:00:00,Fulham,Arsenal,1,5,A,0,0,5.01,4.48,1.67,,
ENG-Premier League,1819,2018-10-07 Liverpool-Man City,2018-10-07 12:00:00,Liverpool,Man City,0,0,D,0,0,2.84,3.55,2.6,,
ENG-Premier League,1819,2018-10-07 Southampton-Chelsea,2018-10-07 12:00:00,Southampton,Chelsea,0,3,A,0,0,6.92,4.19,1.56,,
ENG-Premier League,1819,2018-10-20 Bournemouth-Southampton,2018-10-20 12:00:00,Bournemouth,Southampton,0,0,D,0,0,2.22,3.51,3.53,,
ENG-Premier League,1819,2018-10-20 Cardiff-Fulham,2018-10-20 12:00:00,Cardiff,Fulham,4,2,H,0,0,2.62,3.45,2.88,,
ENG-Premier League,1819,2018-10-20 Chelsea-Man United,2018-10-20 12:00:00,Chelsea,Man United,2,2,D,0,0,1.77,3.9,5.01,,
ENG-Premier League,1819,2018-10-20 Huddersfield-Liverpool,2018-10-20 12:00:00,Huddersfield,Liverpool,0,1,A,0,0,12.75,6.18,1.26,,
ENG-Premier League,1819,2018-10-20 Man City-Burnley,2018-10-20 12:00:00,Man City,Burnley,5,0,H,0,0,1.07,14.92,32.36,,
ENG-Premier League,1819,2018-10-20 Newcastle-Brighton,2018-10-20 12:00:00,Newcastle,Brighton,0,1,A,0,0,2.22,3.25,3.82,,
ENG-Premier League,1819,2018-10-20 West Ham-Tottenham,2018-10-20 12:00:00,West Ham,Tottenham,0,1,A,0,0,3.89,3.73,2.02,,
ENG-Premier League,1819,2018-10-20 Wolves-Watford,2018-10-20 12:00:00,Wolves,Watford,0,2,A,0,0,1.86,3.38,5.36,,
ENG-Premier League,1819,2018-10-21 Everton-Crystal Palace,2018-10-21 12:00:00,Everton,Crystal Palace,2,0,H,0,0,1.78,3.67,5.35,,
ENG-Premier League,1819,2018-10-22 Arsenal-Leicester,2018-10-22 12:00:00,Arsenal,Leicester,3,1,H,0,0,1.63,4.13,6.03,,
ENG-Premier League,1819,2018-10-27 Brighton-Wolves,2018-10-27 12:00:00,Brighton,Wolves,1,0,H,0,0,3.48,3.19,2.39,,
ENG-Premier League,1819,2018-10-27 Fulham-Bournemouth,2018-10-27 12:00:00,Fulham,Bournemouth,0,3,A,1,0,2.85,3.71,2.51,,
ENG-Premier League,1819,2018-10-27 Leicester-West Ham,2018-10-27 12:00:00,Leicester,West Ham,1,1,D,0,1,1.98,3.6,4.21,,
ENG-Premier League,1819,2018-10-27 Liverpool-Cardiff,2018-10-27 12:00:00,Liverpool,Cardiff,4,1,H,0,0,1.12,9.84,28.98,,
ENG-Premier League,1819,2018-10-27 Southampton-Newcastle,2018-10-27 12:00:00,Southampton,Newcastle,0,0,D,0,0,2.01,3.55,4.15,,
ENG-Premier League,1819,2018-10-27 Watford-Huddersfield,2018-10-27 12:00:00,Watford,Huddersfield,3,0,H,0,0,1.78,3.53,5.73,,
ENG-Premier League,1819,2018-10-28 Burnley-Chelsea,2018-10-28 12:00:00,Burnley,Chelsea,0,4,A,0,0,9.53,4.52,1.43,,
ENG-Premier League,1819,2018-10-28 Crystal Palace-Arsenal,2018-10-28 12:00:00,Crystal Palace,Arsenal,2,2,D,0,0,4.57,3.86,1.84,,
ENG-Premier League,1819,2018-10-28 Man United-Everton,2018-10-28 12:00:00,Man United,Everton,2,1,H,0,0,1.81,3.74,4.95,,
ENG-Premier League,1819,2018-10-29 Tottenham-Man City,2018-10-29 12:00:00,Tottenham,Man City,0,1,A,0,0,5.42,4.29,1.66,,
ENG-Premier League,1819,2018-11-03 Arsenal-Liverpool,2018-11-03 12:00:00,Arsenal,Liverpool,1,1,D,0,0,3.91,3.94,1.96,,
ENG-Premier League,1819,2018-11-03 Bournemouth-Man United,2018-11-03 12:00:00,Bournemouth,Man United,1,2,A,0,0,3.9,3.98,1.95,,
ENG-Premier League,1819,2018-11-03 Cardiff-Leicester,2018-11-03 12:00:00,Cardiff,Leicester,0,1,A,0,0,3.45,3.47,2.27,,
ENG-Premier League,1819,2018-11-03 Everton-Brighton,2018-11-03 12:00:00,Everton,Brighton,3,1,H,0,0,1.57,4.04,7.24,,
ENG-Premier League,1819,2018-11-03 Newcastle-Watford,2018-11-03 12:00:00,Newcastle,Watford,1,0,H,0,0,2.85,3.29,2.74,,
ENG-Premier League,1819,2018-11-03 West Ham-Burnley,2018-11-03 12:00:00,West Ham,Burnley,4,2,H,0,0,1.57,4.17,6.85,,
ENG-Premier League,1819,2018-11-03 Wolves-Tottenham,2018-11-03 12:00:00,Wolves,Tottenham,2,3,A,0,0,3.43,3.38,2.32,,
ENG-Premier League,1819,2018-11-04 Chelsea-Crystal Palace,2018-11-04 12:00:00,Chelsea,Crystal Palace,3,1,H,0,0,1.33,5.53,10.76,,
ENG-Premier League,1819,2018-11-04 Man City-Southampton,2018-11-04 12:00:00,Man City,Southampton,6,1,H,0,0,1.12,10.04,27.35,,
ENG-Premier League,1819,2018-11-05 Huddersfield-Fulham,2018-11-05 12:00:00,Huddersfield,Fulham,1,0,H,0,0,2.34,3.44,3.32,,
ENG-Premier League,1819,2018-11-10 Cardiff-Brighton,2018-11-10 12:00:00,Cardiff,Brighton,2,1,H,0,1,2.58,3.15,3.19,,
ENG-Premier League,1819,2018-11-10 Crystal Palace-Tottenham,2018-11-10 12:00:00,Crystal Palace,Tottenham,0,1,A,0,0,5.48,3.96,1.7,,
ENG-Premier League,1819,2018-11-10 Huddersfield-West Ham,2018-11-10 12:00:00,Huddersfield,West Ham,1,1,D,0,0,3.27,3.27,2.46,,
ENG-Premier League,1819,2018-11-10 Leicester-Burnley,2018-11-10 12:00:00,Leicester,Burnley,0,0,D,0,0,1.49,4.47,7.93,,
ENG-Premier League,1819,2018-11-10 Newcastle-Bournemouth,2018-11-10 12:00:00,Newcastle,Bournemouth,2,1,H,0,0,2.94,3.5,2.55,,
ENG-Premier League,1819,2018-11-10 Southampton-Watford,2018-11-10 12:00:00,Southampton,Watford,1,1,D,0,0,2.34,3.44,3.32,,
ENG-Premier League,1819,2018-11-11 Arsenal-Wolves,2018-11-11 12:00:00,Arsenal,Wolves,1,1,D,0,0,1.65,4.15,5.71,,
ENG-Premier League,1819,2018-11-11 Chelsea-Everton,2018-11-11 12:00:00,Chelsea,Everton,0,0,D,0,0,1.4,5.04,8.94,,
ENG-Premier League,1819,2018-11-11 Liverpool-Fulham,2018-11-11 12:00:00,Liverpool,Fulham,2,0,H,0,0,1.1,11.92,26.16,,
ENG-Premier League,1819,2018-11-11 Man City-Man United,2018-11-11 12:00:00,Man City,Man United,3,1,H,0,0,1.36,5.42,9.53,,
ENG-Premier League,1819,2018-11-24 Brighton-Leicester,2018-11-24 12:00:00,Brighton,Leicester,1,1,D,0,1,2.9,3.15,2.81,,
ENG-Premier League,1819,2018-11-24 Everton-Cardiff,2018-11-24 12:00:00,Everton,Cardiff,1,0,H,0,0,1.47,4.34,8.88,,
ENG-Premier League,1819,2018-11-24 Fulham-Southampton,2018-11-24 12:00:00,Fulham,Southampton,3,2,H,0,0,2.8,3.31,2.78,,
ENG-Premier League,1819,2018-11-24 Man United-Crystal Palace,2018-11-24 12:00:00,Man United,Crystal Palace,0,0,D,0,0,1.46,4.47,8.65,,
ENG-Premier League,1819,2018-11-24 Tottenham-Chelsea,2018-11-24 12:00:00,Tottenham,Chelsea,3,1,H,0,0,3.09,3.44,2.47,,
ENG-Premier League,1819,2018-11-24 Watford-Liverpool,2018-11-24 12:00:00,Watford,Liverpool,0,3,A,0,1,6.29,4.46,1.56,,
ENG-Premier League,1819,2018-11-24 West Ham-Man City,2018-11-24 12:00:00,West Ham,Man City,0,4,A,0,0,12.2,6.9,1.24,,
ENG-Premier League,1819,2018-11-25 Bournemouth-Arsenal,2018-11-25 12:00:00,Bournemouth,Arsenal,1,2,A,0,0,3.38,3.7,2.21,,
ENG-Premier League,1819,2018-11-25 Wolves-Huddersfield,2018-11-25 12:00:00,Wolves,Huddersfield,0,2,A,0,0,1.61,3.71,7.73,,
ENG-Premier League,1819,2018-11-26 Burnley-Newcastle,2018-11-26 12:00:00,Burnley,Newcastle,1,2,A,0,0,3.03,3.18,2.67,,
ENG-Premier League,1819,2018-11-30 Cardiff-Wolves,2018-11-30 12:00:00,Cardiff,Wolves,2,1,H,0,0,3.63,3.28,2.28,,
ENG-Premier League,1819,2018-12-01 Crystal Palace-Burnley,2018-12-01 12:00:00,Crystal Palace,Burnley,2,0,H,0,0,1.56,4.07,7.28,,
ENG-Premier League,1819,2018-12-01 Huddersfield-Brighton,2018-12-01 12:00:00,Huddersfield,Brighton,1,2,A,1,0,2.43,2.93,3.76,,
ENG-Premier League,1819,2018-12-01 Leicester-Watford,2018-12-01 12:00:00,Leicester,Watford,2,0,H,0,1,2.36,3.3,3.41,,
ENG-Premier League,1819,2018-12-01 Man City-Bournemouth,2018-12-01 12:00:00,Man City,Bournemouth,3,1,H,0,0,1.13,9.87,22.77,,
ENG-Premier League,1819,2018-12-01 Newcastle-West Ham,2018-12-01 12:00:00,Newcastle,West Ham,0,3,A,0,0,2.59,3.37,2.98,,
ENG-Premier League,1819,2018-12-01 Southampton-Man United,2018-12-01 12:00:00,Southampton,Man United,2,2,D,0,0,4.29,3.58,1.97,,
ENG-Premier League,1819,2018-12-02 Arsenal-Tottenham,2018-12-02 12:00:00,Arsenal,Tottenham,4,2,H,0,1,2.94,3.53,2.53,,
ENG-Premier League,1819,2018-12-02 Chelsea-Fulham,2018-12-02 12:00:00,Chelsea,Fulham,2,0,H,0,0,1.2,7.59,14.82,,
ENG-Premier League,1819,2018-12-02 Liverpool-Everton,2018-12-02 12:00:00,Liverpool,Everton,1,0,H,0,0,1.47,4.49,8.31,,
ENG-Premier League,1819,2018-12-04 Bournemouth-Huddersfield,2018-12-04 12:00:00,Bournemouth,Huddersfield,2,1,H,0,0,1.74,3.72,5.65,,
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,2018-12-04 12:00:00,Brighton,Crystal Palace,3,1,H,1,0,3.14,2.95,2.77,,
ENG-Premier League,1819,2018-12-04 Watford-Man City,2018-12-04 12:00:00,Watford,Man City,1,2,A,0,0,9.33,5.38,1.37,,
ENG-Premier League,1819,2018-12-04 West Ham-Cardiff,2018-12-04 12:00:00,West Ham,Cardiff,3,1,H,0,0,1.7,3.94,5.59,,
ENG-Premier League,1819,2018-12-05 Burnley-Liverpool,2018-12-05 12:00:00,Burnley,Liverpool,1,3,A,0,0,11.43,5.21,1.33,,
ENG-Premier League,1819,2018-12-05 Everton-Newcastle,2018-12-05 12:00:00,Everton,Newcastle,1,1,D,0,0,1.49,4.37,8.17,,
ENG-Premier League,1819,2018-12-05 Fulham-Leicester,2018-12-05 12:00:00,Fulham,Leicester,1,1,D,0,0,2.75,3.36,2.8,,
ENG-Premier League,1819,2018-12-05 Man United-Arsenal,2018-12-05 12:00:00,Man United,Arsenal,2,2,D,0,0,2.44,3.52,3.07,,
ENG-Premier League,1819,2018-12-05 Tottenham-Southampton,2018-12-05 12:00:00,Tottenham,Southampton,3,1,H,0,0,1.34,5.45,10.73,,
ENG-Premier League,1819,2018-12-05 Wolves-Chelsea,2018-12-05 12:00:00,Wolves,Chelsea,2,1,H,0,0,6.01,3.94,1.66,,
ENG-Premier League,1819,2018-12-08 Arsenal-Huddersfield,2018-12-08 12:00:00,Arsenal,Huddersfield,1,0,H,0,0,1.3,5.74,12.4,,
ENG-Premier League,1819,2018-12-08 Bournemouth-Liverpool,2018-12-08 12:00:00,Bournemouth,Liverpool,0,4,A,0,0,7.43,4.72,1.48,,
ENG-Premier League,1819,2018-12-08 Burnley-Brighton,2018-12-08 12:00:00,Burnley,Brighton,1,0,H,0,0,2.98,3.11,2.77,,
ENG-Premier League,1819,2018-12-08 Cardiff-Southampton,2018-12-08 12:00:00,Cardiff,Southampton,1,0,H,0,0,3.3,3.28,2.44,,
ENG-Premier League,1819,2018-12-08 Chelsea-Man City,2018-12-08 12:00:00,Chelsea,Man City,2,0,H,0,0,3.56,3.47,2.22,,
ENG-Premier League,1819,2018-12-08 Leicester-Tottenham,2018-12-08 12:00:00,Leicester,Tottenham,0,2,A,0,0,4.34,3.49,1.99,,
ENG-Premier League,1819,2018-12-08 Man United-Fulham,2018-12-08 12:00:00,Man United,Fulham,4,1,H,0,1,1.39,5.09,9.42,,
ENG-Premier League,1819,2018-12-08 West Ham-Crystal Palace,2018-12-08 12:00:00,West Ham,Crystal Palace,3,2,H,0,0,2.32,3.54,3.27,,
ENG-Premier League,1819,2018-12-09 Newcastle-Wolves,2018-12-09 12:00:00,Newcastle,Wolves,1,2,A,1,0,2.97,3.05,2.83,,
ENG-Premier League,1819,2018-12-10 Everton-Watford,2018-12-10 12:00:00,Everton,Watford,2,2,D,0,0,1.69,3.92,5.7,,
ENG-Premier League,1819,2018-12-15 Crystal Palace-Leicester,2018-12-15 12:00:00,Crystal Palace,Leicester,1,0,H,0,0,2.73,3.2,2.94,,
ENG-Premier League,1819,2018-12-15 Fulham-West Ham,2018-12-15 12:00:00,Fulham,West Ham,0,2,A,0,0,3.12,3.56,2.4,,
ENG-Premier League,1819,2018-12-15 Huddersfield-Newcastle,2018-12-15 12:00:00,Huddersfield,Newcastle,0,1,A,0,0,2.64,3.07,3.19,,
ENG-Premier League,1819,2018-12-15 Man City-Everton,2018-12-15 12:00:00,Man City,Everton,3,1,H,0,0,1.23,6.83,13.15,,
ENG-Premier League,1819,2018-12-15 Tottenham-Burnley,2018-12-15 12:00:00,Tottenham,Burnley,1,0,H,0,0,1.2,6.92,18.03,,
ENG-Premier League,1819,2018-12-15 Watford-Cardiff,2018-12-15 12:00:00,Watford,Cardiff,3,2,H,0,0,1.68,3.9,5.86,,
ENG-Premier League,1819,2018-12-15 Wolves-Bournemouth,2018-12-15 12:00:00,Wolves,Bournemouth,2,0,H,0,0,2.02,3.45,4.24,,
ENG-Premier League,1819,2018-12-16 Brighton-Chelsea,2018-12-16 12:00:00,Brighton,Chelsea,1,2,A,0,0,8.63,4.58,1.45,,
ENG-Premier League,1819,2018-12-16 Liverpool-Man United,2018-12-16 12:00:00,Liverpool,Man United,3,1,H,0,0,1.55,4.26,7.09,,
ENG-Premier League,1819,2018-12-16 Southampton-Arsenal,2018-12-16 12:00:00,Southampton,Arsenal,3,2,H,0,0,4.52,4.0,1.82,,
ENG-Premier League,1819,2018-12-21 Wolves-Liverpool,2018-12-21 12:00:00,Wolves,Liverpool,0,2,A,0,0,7.49,4.16,1.54,,
ENG-Premier League,1819,2018-12-22 Arsenal-Burnley,2018-12-22 12:00:00,Arsenal,Burnley,3,1,H,0,0,1.2,7.15,15.42,,
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,2018-12-22 12:00:00,Bournemouth,Brighton,2,0,H,0,1,2.03,3.5,4.14,,
ENG-Premier League,1819,2018-12-22 Cardiff-Man United,2018-12-22 12:00:00,Cardiff,Man United,1,5,A,0,0,6.9,4.32,1.55,,
ENG-Premier League,1819,2018-12-22 Chelsea-Leicester,2018-12-22 12:00:00,Chelsea,Leicester,0,1,A,0,0,1.34,5.48,10.52,,
ENG-Premier League,1819,2018-12-22 Huddersfield-Southampton,2018-12-22 12:00:00,Huddersfield,Southampton,1,3,A,0,0,2.9,3.1,2.85,,
ENG-Premier League,1819,2018-12-22 Man City-Crystal Palace,2018-12-22 12:00:00,Man City,Crystal Palace,2,3,A,0,0,1.17,7.9,19.72,,
ENG-Premier League,1819,2018-12-22 Newcastle-Fulham,2018-12-22 12:00:00,Newcastle,Fulham,0,0,D,0,0,2.39,3.26,3.41,,
ENG-Premier League,1819,2018-12-22 West Ham-Watford,2018-12-22 12:00:00,West Ham,Watford,0,2,A,0,0,2.5,3.53,2.98,,
