league,season,game,date,home_team,away_team,FTHG,FTAG,FTR,HR,AR,PSCH,PSCD,PSCA,H_Elo,A_Elo
ENG-Premier League,2324,2023-12-30 Wolves-Everton,2023-12-30 15:00:00,Wolves,Everton,3,0,H,0,0,2.97,3.24,2.61,1715.48828125,1704.68493652
ENG-Premier League,2324,2023-12-31 Fulham-Arsenal,2023-12-31 14:00:00,Fulham,Arsenal,2,1,H,0,0,5.78,4.22,1.61,1733.08740234,1915.81921387
ENG-Premier League,2324,2023-12-31 Tottenham-Bournemouth,2023-12-31 14:00:00,Tottenham,Bournemouth,3,1,H,0,0,1.79,4.59,3.92,1812.32385254,1657.08825684
ENG-Premier League,2324,2024-01-01 Liverpool-Newcastle,2024-01-01 20:00:00,Liverpool,Newcastle,4,2,H,0,0,1.38,5.7,7.75,1943.3503418,1872.45019531
ENG-Premier League,2324,2024-01-02 West Ham-Brighton,2024-01-02 19:30:00,West Ham,Brighton,0,0,D,0,0,3.19,3.65,2.27,1768.10974121,1824.61962891
ENG-Premier League,2324,2024-01-12 Burnley-Luton,2024-01-12 19:45:00,Burnley,Luton,1,1,D,0,0,2.18,3.47,3.6,1683.77587891,
ENG-Premier League,2324,2024-01-13 Chelsea-Fulham,2024-01-13 12:30:00,Chelsea,Fulham,1,0,H,0,0,1.67,4.15,5.3,1784.5447998,1733.08740234
ENG-Premier League,2324,2024-01-13 Newcastle-Man City,2024-01-13 17:30:00,Newcastle,Man City,2,3,A,0,0,5.1,4.25,1.67,1872.45019531,2069.97924805
ENG-Premier League,2324,2024-01-14 Everton-Aston Villa,2024-01-14 14:00:00,Everton,Aston Villa,0,0,D,0,0,2.55,3.61,2.79,1704.68493652,1824.44519043
ENG-Premier League,2324,2024-01-14 Man United-Tottenham,2024-01-14 16:30:00,Man United,Tottenham,2,2,D,0,0,1.99,4.02,3.59,1870.08166504,1812.32385254
ENG-Premier League,2324,2024-01-20 Arsenal-Crystal Palace,2024-01-20 12:30:00,Arsenal,Crystal Palace,5,0,H,0,0,1.27,6.15,12.65,1915.81921387,1753.84619141
ENG-Premier League,2324,2024-01-20 Brentford-Nott'm Forest,2024-01-20 17:30:00,Brentford,Nott'm Forest,3,2,H,0,0,1.78,3.86,4.81,1820.78088379,1670.41308594
ENG-Premier League,2324,2024-01-21 Bournemouth-Liverpool,2024-01-21 16:30:00,Bournemouth,Liverpool,0,4,A,0,0,4.49,4.46,1.71,1657.08825684,1943.3503418
ENG-Premier League,2324,2024-01-21 Sheffield United-West Ham,2024-01-21 14:00:00,Sheffield United,West Ham,2,2,D,1,1,2.82,3.35,2.67,1623.86804199,1768.10974121
ENG-Premier League,2324,2024-01-22 Brighton-Wolves,2024-01-22 19:45:00,Brighton,Wolves,0,0,D,0,0,1.67,4.25,5.15,1824.61962891,1715.48828125
ENG-Premier League,2324,2024-01-30 Aston Villa-Newcastle,2024-01-30 20:15:00,Aston Villa,Newcastle,1,3,A,0,0,1.86,4.08,4.06,1824.44519043,1872.45019531
ENG-Premier League,2324,2024-01-30 Crystal Palace-Sheffield United,2024-01-30 20:00:00,Crystal Palace,Sheffield United,3,2,H,0,0,1.61,4.01,6.2,1753.84619141,1623.86804199
