home_team_elo,away_team_elo,home_xG_to_date,away_xG_to_date,home_xG_against_to_date,away_xG_against_to_date,home_goals_scored_to_date,away_goals_scored_to_date,home_goals_conceded_to_date,away_goals_conceded_to_date,home_points_to_date,away_points_to_date,home_form,away_form,match_result
1630.77624512,1898.22277832,6.8,7.7,7.8,7.1,7,10,9,6,5,9,0.6,1.2,2
1636.1015625,1687.90441895,4.6,8.9,9.0,6.6,3,10,10,7,1,10,1.4,1.4,0
1561.54931641,1960.09777832,4.9,14.3,8.3,3.1,3,14,9,3,2,13,0.6,3.0,2
1677.04272461,1649.19812012,5.5,3.7,8.1,7.4,4,4,6,8,6,1,2.0,1.4,1
1626.49182129,1663.09692383,5.6000000000000005,5.6,13.0,4.4,7,10,12,5,4,12,1.8,0.8,1
1690.37451172,1551.54077148,5.9,2.5,6.4,8.5,8,2,9,11,6,2,1.4,0.2,0
1941.6619873,1647.55041504,11.8,8.0,3.7,7.3,11,6,2,6,15,5,3.0,1.0,0
1875.65979004,1609.8236084,8.8,6.7,6.8,4.2,8,5,8,5,9,8,1.0,2.0,1
1820.64978027,1679.23352051,7.4,5.3,5.8,6.5,10,8,9,9,9,6,0.8,2.0,0
1655.82202148,1861.375,5.3,8.7,9.5,4.5,5,14,11,4,3,15,1.4,1.6,1
1825.24963379,1663.95581055,8.2,7.0,6.6000000000000005,6.1,12,11,9,6,12,13,0.8,0.8,0
1857.56201172,1944.22155762,10.2,13.5,5.5,4.0,14,14,4,2,16,18,1.6,3.0,1
1674.63366699,1625.63293457,6.1,7.300000000000001,7.300000000000001,14.4,8,8,11,13,6,5,2.0,1.8,0
1546.6809082,1901.68859863,3.2,9.6,10.2,7.9,3,12,14,7,2,12,0.2,1.2,2
1963.86547852,1627.31054688,16.8,7.6,3.2,9.7,19,8,3,11,16,5,3.0,0.6,0
1651.84936523,1695.234375,3.9,7.6,8.3,7.1,4,11,8,10,2,9,1.4,1.4,2
1659.63513184,1868.23217773,6.3,9.4,11.0,7.8,5,9,11,9,4,10,1.4,1.0,0
1617.25109863,1644.99084473,7.7,8.3,4.8,9.0,6,6,6,9,9,5,2.0,1.0,0
1557.78149414,1651.5892334,5.0,6.7,10.8,10.0,3,7,14,10,2,4,0.6,1.4,2
1672.41674805,1674.39160156,9.9,6.4,8.7,8.3,10,4,11,6,10,7,1.4,2.0,0
1621.3034668,1671.94067383,7.8,7.7,12.4,11.7,8,8,13,12,5,7,0.6,1.4,0
1654.76477051,1539.18774414,7.0,3.6,11.7,12.3,9,3,11,16,7,2,1.4,0.2,1
1663.70446777,1622.87841797,6.8,9.3,10.1,5.6,5,8,8,6,7,12,2.0,2.0,2
1702.98901367,1679.19213867,8.9,8.399999999999999,7.5,7.800000000000001,13,11,10,11,12,9,1.4,2.0,2
1842.73474121,1635.34155273,10.1,4.3,9.2,9.6,10,4,12,10,10,2,1.0,1.4,0
1889.37658691,1545.85266113,11.7,6.7,8.3,11.1,14,4,7,16,15,2,1.2,0.6,0
1655.43200684,1674.35046387,9.8,11.7,7.5,9.1,11,12,8,12,13,13,0.8,1.4,2
1612.32116699,1830.14172363,7.800000000000001,9.6,16.7,9.4,8,14,16,9,5,15,1.8,0.8,2
1931.58300781,1965.34851074,15.1,19.5,5.1,3.4,15,21,3,3,19,19,3.0,3.0,1
1630.61047363,1854.29870605,9.1,11.3,10.6,7.1,6,15,11,5,5,17,1.0,1.6,2
1692.60961914,1623.3034668,14.9,10.7,10.1,13.5,16,6,12,14,16,5,1.4,1.0,1
1544.73974609,1604.18933105,7.9,9.2,13.1,17.8,4,9,17,21,2,5,0.6,1.8,0
