season,game,week,day,date,time,home_team,home_xg,score,away_xg,away_team,referee,game_id,home_team_elo,away_team_elo,home_starters,away_starters,home_team_strength,away_team_strength
1920,2019-08-24 Norwich City-Chelsea,3,Sat,2019-08-24,12:30,norwich city,1.1,2–3,1.5,chelsea,Martin Atkinson,4f4fd2d8,1648.70080566,1869.96850586,"['Tim Krul', 'Max Aarons', 'Ben Godfrey', 'Grant Hanley', 'Moritz Leitner', 'Jamal Lewis', 'Todd Cantwell', 'Emi Buendía', 'Marco Stiepermann', 'Tom Trybull', 'Teemu Pukki']","['Kepa Arrizabalaga', 'Andreas Christensen', 'Jorginho', 'Ross Barkley', 'Tammy Abraham', 'Kurt Zouma', 'Mateo Kovačić', 'Mason Mount', 'Christian Pulisic', 'César Azpilicueta', 'Emerson Palmieri']",0.0,0.532
1920,2019-08-25 Bournemouth-Manchester City,3,Sun,2019-08-25,14:00,bournemouth,2.2,1–3,3.0,manchester city,Andre Marriner,7728bd7e,1701.86572266,2045.06591797,"['Aaron Ramsdale', 'Steve Cook', 'Nathan Aké', 'Joshua King', 'Jefferson Lerma', 'Charlie Daniels', 'Callum Wilson', 'Adam Smith', 'Ryan Fraser', 'Philip Billing', 'Chris Mepham']","['Ederson', 'Kyle Walker', 'Raheem Sterling', 'İlkay Gündoğan', 'Sergio Agüero', 'Oleksandr Zinchenko', 'Aymeric Laporte', 'Kevin De Bruyne', 'Bernardo Silva', 'David Silva', 'Nicolás Otamendi']",0.20900000000000002,1.708
1920,2019-08-31 Burnley-Liverpool,4,Sat,2019-08-31,17:30,burnley,0.9,0–3,1.0,liverpool,Chris Kavanagh,af072d61,1701.16247559,2061.48413086,"['Nick Pope', 'Matthew Lowton', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Ashley Westwood', 'Erik Pieters', 'Aaron Lennon']","['Adrián', 'Fabinho', 'Virgil van Dijk', 'Georginio Wijnaldum', 'Roberto Firmino', 'Sadio Mané', 'Mohamed Salah', 'Jordan Henderson', 'Andrew Robertson', 'Joël Matip', 'Trent Alexander-Arnold']",-0.010999999999999998,1.068
1920,2019-08-31 Crystal Palace-Aston Villa,4,Sat,2019-08-31,15:00,crystal palace,1.4,1–0,0.4,aston villa,Kevin Friend,230f4fac,1753.17590332,1625.97106934,"['Vicente Guaita', 'Joel Ward', 'Patrick van Aanholt', 'Luka Milivojević', 'Cheikhou Kouyaté', 'Jordan Ayew', 'Wilfried Zaha', 'Jeffrey Schlupp', 'James McArthur', 'Gary Cahill', 'Martin Kelly']","['Tom Heaton', 'Neil Taylor', 'Douglas Luiz', 'John McGinn', 'Wesley Moraes', 'Jack Grealish', 'Trézéguet', 'Björn Engels', 'Jota', 'Frederic Guilbert', 'Tyrone Mings']",0.132,-0.086
1920,2019-08-31 Leicester City-Bournemouth,4,Sat,2019-08-31,15:00,leicester city,2.0,3–1,0.6,bournemouth,Peter Bankes,3d899563,1756.99560547,1700.01367188,"['Kasper Schmeichel', 'Ben Chilwell', 'Çağlar Söyüncü', 'Jonny Evans', 'Youri Tielemans', 'Jamie Vardy', 'James Maddison', 'Marc Albrighton', 'Harvey Barnes', 'Ricardo Pereira', 'Wilfred Ndidi']","['Aaron Ramsdale', 'Steve Cook', 'Nathan Aké', 'Joshua King', 'Jefferson Lerma', 'Callum Wilson', 'Adam Smith', 'Harry Wilson', 'Ryan Fraser', 'Philip Billing', 'Chris Mepham']",0.386,0.203
1920,2019-09-14 Norwich City-Manchester City,5,Sat,2019-09-14,17:30,norwich city,1.5,3–2,2.3,manchester city,Kevin Friend,1c7bccd4,1639.78759766,2050.77294922,"['Tim Krul', 'Sam Byram', 'Ben Godfrey', 'Jamal Lewis', 'Todd Cantwell', 'Emi Buendía', 'Marco Stiepermann', 'Teemu Pukki', 'Kenny McLean', 'Ibrahim Amadou', 'Alexander Tettey']","['Ederson', 'Kyle Walker', 'John Stones', 'Raheem Sterling', 'İlkay Gündoğan', 'Sergio Agüero', 'Oleksandr Zinchenko', 'Rodri', 'Bernardo Silva', 'David Silva', 'Nicolás Otamendi']",0.021,1.505
1920,2019-09-15 Bournemouth-Everton,5,Sun,2019-09-15,14:00,bournemouth,1.4,3–1,1.5,everton,Paul Tierney,886c59ae,1692.85388184,1774.09289551,"['Aaron Ramsdale', 'Steve Cook', 'Nathan Aké', 'Joshua King', 'Dominic Solanke', 'Callum Wilson', 'Lewis Cook', 'Jack Stacey', 'Diego Rico', 'Harry Wilson', 'Philip Billing']","['Jordan Pickford', 'Michael Keane', 'Richarlison', 'Fabian Delph', 'Dominic Calvert-Lewin', 'Gylfi Sigurðsson', 'Lucas Digne', 'Yerry Mina', 'Alex Iwobi', 'Morgan Schneiderlin', 'Séamus Coleman']",0.173,0.46199999999999997
1920,2019-09-15 Watford-Arsenal,5,Sun,2019-09-15,16:30,watford,2.7,2–2,0.8,arsenal,Anthony Taylor,8257eda8,1661.65380859,1878.59448242,"['Ben Foster', 'Craig Dawson', 'Gerard Deulofeu', 'Tom Cleverley', 'Abdoulaye Doucouré', 'Andre Gray', 'Will Hughes', 'Kiko Femenía', 'José Holebas', 'Christian Kabasele', 'Étienne Capoue']","['Bernd Leno', 'Sokratis Papastathopoulos', 'Dani Ceballos', 'Mesut Özil', 'Pierre-Emerick Aubameyang', 'Ainsley Maitland-Niles', 'Nicolas Pépé', 'David Luiz', 'Mattéo Guendouzi', 'Sead Kolašinac', 'Granit Xhaka']",0.125,0.7230000000000001
1920,2019-09-20 Southampton-Bournemouth,6,Fri,2019-09-20,20:00,southampton,2.5,1–3,1.2,bournemouth,Chris Kavanagh,ebbb65f5,1686.10791016,1696.83068848,"['Angus Gunn', 'Cédric Soares', 'Jannik Vestergaard', 'Che Adams', 'Oriol Romeu', 'James Ward-Prowse', 'Sofiane Boufal', 'Nathan Redmond', 'Pierre Højbjerg', 'Jan Bednarek', 'Kevin Danso']","['Aaron Ramsdale', 'Steve Cook', 'Nathan Aké', 'Joshua King', 'Jefferson Lerma', 'Dominic Solanke', 'Callum Wilson', 'Jack Stacey', 'Diego Rico', 'Harry Wilson', 'Philip Billing']",0.12200000000000001,0.193
1920,2019-09-21 Burnley-Norwich City,6,Sat,2019-09-21,15:00,burnley,2.0,2–0,0.8,norwich city,David Coote,f97b0ce8,1689.4654541,1647.44519043,"['Nick Pope', 'Matthew Lowton', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Jeff Hendrick', 'Ashley Westwood', 'Erik Pieters']","['Tim Krul', 'Sam Byram', 'Ben Godfrey', 'Jamal Lewis', 'Todd Cantwell', 'Emi Buendía', 'Marco Stiepermann', 'Teemu Pukki', 'Kenny McLean', 'Ibrahim Amadou', 'Alexander Tettey']",0.011999999999999997,0.021
