match,bookmaker,outcome,odds
Nottingham Forest vs Bournemouth,FanDuel,Nottingham Forest,2.4
Nottingham Forest vs Bournemouth,FanDuel,Draw,3.4
Nottingham Forest vs Bournemouth,Caesars,Bournemouth,2.85
Nottingham Forest vs Bournemouth,Caesars,Nottingham Forest,2.35
Nottingham Forest vs Bournemouth,Caesars,Draw,3.5
Nottingham Forest vs Bournemouth,BetOnline.ag,Bournemouth,2.95
Nottingham Forest vs Bournemouth,BetOnline.ag,Nottingham Forest,2.46
Nottingham Forest vs Bournemouth,BetOnline.ag,Draw,3.46
Nottingham Forest vs Bournemouth,LowVig.ag,Bournemouth,2.95
Nottingham Forest vs Bournemouth,LowVig.ag,Nottingham Forest,2.46
Nottingham Forest vs Bournemouth,LowVig.ag,Draw,3.46
Nottingham Forest vs Bournemouth,BetUS,Bournemouth,2.85
Nottingham Forest vs Bournemouth,BetUS,Nottingham Forest,2.4
Nottingham Forest vs Bournemouth,BetUS,Draw,3.5
Nottingham Forest vs Bournemouth,Bovada,Bournemouth,2.85
Nottingham Forest vs Bournemouth,Bovada,Nottingham Forest,2.4
Nottingham Forest vs Bournemouth,Bovada,Draw,3.5
Everton vs Brighton and Hove Albion,BetRivers,Brighton and Hove Albion,2.6
Everton vs Brighton and Hove Albion,BetRivers,Everton,2.65
Everton vs Brighton and Hove Albion,BetRivers,Draw,3.45
Everton vs Brighton and Hove Albion,DraftKings,Brighton and Hove Albion,2.7
Everton vs Brighton and Hove Albion,DraftKings,Everton,2.65
Everton vs Brighton and Hove Albion,DraftKings,Draw,3.35
Everton vs Brighton and Hove Albion,FanDuel,Brighton and Hove Albion,2.65
Everton vs Brighton and Hove Albion,FanDuel,Everton,2.65
Everton vs Brighton and Hove Albion,FanDuel,Draw,3.3
Everton vs Brighton and Hove Albion,Caesars,Brighton and Hove Albion,2.6
Everton vs Brighton and Hove Albion,Caesars,Everton,2.7
Everton vs Brighton and Hove Albion,Caesars,Draw,3.3
Everton vs Brighton and Hove Albion,BetOnline.ag,Brighton and Hove Albion,2.7
Everton vs Brighton and Hove Albion,BetOnline.ag,Everton,2.7
Everton vs Brighton and Hove Albion,BetOnline.ag,Draw,3.39
Everton vs Brighton and Hove Albion,LowVig.ag,Brighton and Hove Albion,2.7
Everton vs Brighton and Hove Albion,LowVig.ag,Everton,2.7
Everton vs Brighton and Hove Albion,LowVig.ag,Draw,3.39
Everton vs Brighton and Hove Albion,BetUS,Brighton and Hove Albion,2.66
Everton vs Brighton and Hove Albion,BetUS,Everton,2.63
Everton vs Brighton and Hove Albion,BetUS,Draw,3.31
Everton vs Brighton and Hove Albion,Bovada,Brighton and Hove Albion,2.65
Everton vs Brighton and Hove Albion,Bovada,Everton,2.6
Everton vs Brighton and Hove Albion,Bovada,Draw,3.4
Newcastle United vs Southampton,BetRivers,Newcastle United,1.32
Newcastle United vs Southampton,BetRivers,Southampton,8.5
