Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Aaron Cresswell,0.018,0.012,0.006,0.66,1989,33.0,"UEL, Premier League",West Ham,England,LB,"RW, CB, LW",8.4,10.0,8.8,3.3,1.0,1.0,2.0,54.9,3.3,0.0
Aaron Hickey,0.018,0.011,0.007,1.08,2002,21.0,Premier League,Brentford,Scotland,RB,"LB, WB",7.5,8.6,7.4,-2.2,0.9,1.4,0.7,40.5,3.9,0.0
Aaron Meijers,-0.086,-0.082,-0.005,1.69,1987,35.0,Eredivisie,RKC Waalwijk,Netherlands,LB,LM,8.6,12.1,12.4,-2.7,1.5,1.6,3.3,54.4,3.6,0.0
Aaron Ramsdale,0.021,0.018,0.002,0.83,1998,25.0,"Premier League, UCL",Arsenal,England,GK,,5.2,5.4,8.7,-1.2,0.7,0.9,0.7,50.0,2.7,2.2
Aaron Ramsey,0.004,-0.002,0.006,2.24,2003,20.0,Premier League,Burnley,England,CM,"LW, ST, RM",7.9,8.0,8.4,-2.7,0.9,2.0,0.8,48.8,3.4,0.0
Aaron Seydel,-0.006,-0.006,0.0,0.83,1996,27.0,Bundesliga,Darmstadt 98,Germany,ST,,9.0,7.8,10.3,-0.2,0.7,1.0,0.8,56.0,4.1,0.0
Aaron Wan-Bissaka,-0.007,-0.006,-0.001,2.38,1997,25.0,"Premier League, UCL",Manchester United,England,RB,LB,5.9,8.8,8.1,-1.7,2.2,1.7,0.6,48.5,2.4,0.0
Aarón Martín,-0.038,-0.041,0.003,1.51,1997,26.0,Serie A,Genoa,Spain,WB,"LB, RB",7.4,8.6,9.8,-1.7,0.9,1.0,2.3,46.6,3.3,0.0
Abakar Sylla,0.026,0.008,0.018,2.85,2002,20.0,Ligue 1,Strasbourg,Côte d'Ivoire,CB,,5.4,8.3,8.2,1.2,1.4,1.4,0.5,50.7,2.3,0.0
Abass Issah,-0.025,-0.017,-0.008,0.37,1998,24.0,Primeira Liga,Chaves,Ghana,LW,LM,9.9,9.4,9.0,-5.0,0.9,1.0,0.9,48.6,4.4,0.0
Abdallah Sima,0.021,0.022,-0.001,0.0,2001,22.0,UEL,Rangers,Senegal,LW,RW,10.3,9.3,9.7,3.5,1.0,1.5,0.8,49.2,4.4,0.0
Abdel Abqar,-0.011,-0.03,0.019,3.01,1999,24.0,La Liga,Deportivo Alavés,Morocco,CB,,4.5,6.1,7.4,-2.7,1.1,1.1,0.4,52.8,2.4,0.0
Abdelkahar Kadri,-0.076,-0.072,-0.004,1.85,2000,23.0,Belgian Pro League,Kortrijk,Algeria,CM,"AM, LW, LM",19.5,15.1,11.2,-6.8,1.3,1.5,4.3,42.7,6.0,0.0
Abdenego Nankishi,-0.047,-0.042,-0.005,0.36,2002,21.0,Eredivisie,Heracles Almelo,Germany,RW,,9.3,7.9,9.0,5.0,0.9,1.7,0.9,42.9,4.0,0.0
Abderrahman Rebbach,-0.001,-0.01,0.009,0.99,1998,24.0,La Liga,Deportivo Alavés,Algeria,LW,"RW, LM",11.1,10.0,10.6,-0.2,0.9,1.1,2.7,44.3,4.9,0.0
Abdessamad Ezzalzouli,0.023,0.021,0.003,1.46,2001,21.0,"UEL, La Liga","Real Betis, Barcelona",Morocco,LW,,9.3,10.4,11.7,-1.1,0.8,1.3,0.9,48.4,4.9,0.0
Abdou Harroui,-0.003,-0.001,-0.002,1.39,1998,25.0,Serie A,Frosinone,Netherlands,AM,"LW, LM, CM",11.5,10.2,8.4,2.2,0.8,1.2,0.6,52.1,4.6,0.0
Abdoul Kader Bamba,-0.003,-0.001,-0.002,0.84,1994,29.0,Ligue 1,Nantes,France,RW,"AM, LW, ST, LM, RM",14.2,11.9,10.0,-1.1,1.0,1.4,1.6,50.0,6.4,0.0
Abdoul Koné,-0.014,-0.008,-0.005,0.24,2005,18.0,Ligue 1,Reims,France,RB,,7.6,8.1,9.4,-1.2,0.9,1.1,1.0,50.0,3.3,0.0
Abdoulaye Doucouré,0.05,0.023,0.027,4.64,1993,30.0,Premier League,Everton,Mali,ST,CM,10.4,10.7,8.1,-4.3,0.8,1.3,0.4,42.6,3.7,0.0
Abdoulaye Seck,-0.018,-0.01,-0.008,0.0,1992,31.0,UEL,Maccabi Haifa,Senegal,CB,,8.4,8.3,8.6,0.3,1.0,1.3,0.9,61.3,3.5,0.0
Abdoulaye Sissako,-0.074,-0.071,-0.003,1.55,1998,25.0,Belgian Pro League,Kortrijk,France,CM,DM,8.5,10.5,9.5,-6.0,1.5,1.6,0.4,52.9,2.7,0.0
Abdoulaye Touré,-0.023,-0.026,0.003,2.77,1994,29.0,Ligue 1,Le Havre,Guinea,CM,DM,9.0,11.4,8.7,-6.9,1.3,1.4,0.4,51.6,3.8,0.0
Abdul Awudu,-0.048,-0.043,-0.005,0.19,2001,22.0,Primeira Liga,Vizela,Ghana,LW,,9.7,8.5,8.9,-1.7,0.9,1.4,1.0,48.8,4.0,0.0
Abdul Mumin,-0.0,-0.009,0.009,2.35,1998,25.0,La Liga,Rayo Vallecano,Ghana,CB,,4.4,6.7,7.4,1.8,1.0,0.8,0.5,53.9,2.0,0.0
Abdul-Aziz Yakubu,-0.055,-0.051,-0.004,1.08,1998,24.0,Primeira Liga,Rio Ave,Ghana,ST,,9.9,7.2,8.3,3.7,0.6,0.8,0.6,44.3,3.6,0.0
Abdulrazaq Ishaq,0.013,0.016,-0.002,0.0,2002,21.0,UEL,Häcken,Nigeria,RB,,10.2,10.3,9.7,-1.7,0.9,1.7,1.4,45.8,4.0,0.0
Abduqodir Xusanov,-0.012,-0.003,-0.009,1.05,2004,19.0,"UEL, Ligue 1",Lens,Uzbekistan,CB,,6.2,6.8,7.6,-2.2,1.3,1.4,0.6,47.1,2.8,0.0
Abdón Prats,0.011,0.01,0.001,1.86,1992,30.0,La Liga,Mallorca,Spain,ST,"RM, CM",9.3,7.4,8.5,12.1,0.6,0.8,1.2,43.5,4.1,0.0
Abdülkerim Bardakcı,0.009,0.006,0.003,0.0,1994,28.0,UCL,Galatasaray,Turkey,CB,LB,6.3,9.7,9.0,-0.2,1.5,1.4,0.7,50.0,2.9,0.0
Abel Ruiz,0.017,0.016,0.001,2.87,2000,23.0,"Primeira Liga, UCL",Braga,Spain,ST,"AM, RW",10.1,5.8,7.0,-6.0,0.6,0.7,0.4,29.2,4.8,0.0
Ablie Jallow,-0.008,-0.005,-0.003,1.21,1998,24.0,Ligue 1,Metz,Gambia,AM,RW,10.9,11.5,8.8,2.7,1.0,0.9,2.3,38.8,4.4,0.0
Abner,-0.122,-0.086,-0.035,0.84,1996,27.0,Belgian Pro League,RWD Molenbeek,Brazil,WB,"LB, LM",7.7,10.6,9.2,-4.1,1.4,1.0,0.7,51.3,3.2,0.0
Abner,0.007,0.009,-0.002,2.03,2000,23.0,"UEL, La Liga",Real Betis,Brazil,LB,,6.8,7.6,10.1,-2.7,1.1,1.4,0.6,52.6,2.4,0.0
Abou Lô,-0.03,-0.005,-0.024,0.23,2000,23.0,Ligue 1,Metz,Senegal,CB,CM,8.5,8.4,8.3,-1.7,1.2,1.1,1.0,50.0,3.6,0.0
Aboubakary Koita,-0.014,-0.02,0.006,2.91,1998,24.0,Belgian Pro League,Sint-Truiden,Mauritania,AM,"LW, ST",19.7,12.7,9.7,14.5,1.2,1.5,4.3,46.5,9.1,0.0
Achraf Dari,-0.062,-0.045,-0.016,0.39,1999,24.0,Belgian Pro League,"Charleroi, Stade Brestois",Morocco,CB,,7.4,7.8,9.2,1.3,1.6,1.3,0.8,61.3,3.8,0.0
Achraf Douiri,-0.061,-0.054,-0.007,0.32,1999,23.0,Eredivisie,Volendam,Netherlands,RB,"LB, LW",9.5,10.3,10.0,-2.2,1.4,1.9,1.6,45.8,4.0,0.0
Achraf Hakimi,0.15,0.074,0.076,4.88,1998,24.0,"Ligue 1, UCL",Paris Saint-Germain,Morocco,RB,WB,13.1,13.8,12.6,-2.6,1.0,1.2,1.6,45.2,5.4,0.0
Adam Gnezda Čerin,-0.0,-0.001,0.0,0.0,1999,24.0,UEL,Panathinaikos,Slovenia,DM,RM,9.9,8.6,8.5,-3.2,1.0,1.4,1.2,50.0,3.9,0.0
Adam Hložek,0.07,0.064,0.006,0.88,2002,21.0,"Bundesliga, UEL",Bayer Leverkusen,Czechia,AM,ST,8.8,7.6,8.2,-2.6,0.9,1.0,1.1,49.2,5.0,0.0
Adam Karabec,0.002,0.003,-0.002,0.0,2003,20.0,UEL,Sparta Prague,Czechia,AM,RW,10.5,9.4,9.0,-4.6,0.9,1.2,1.7,51.5,4.3,0.0
Adam Lallana,0.027,0.021,0.005,1.34,1988,35.0,"UEL, Premier League",Brighton,England,AM,"RW, DM, ST",10.6,8.2,8.9,-3.6,0.9,1.0,0.6,47.5,4.4,0.0
Adam Marušić,0.018,-0.009,0.027,4.71,1992,30.0,"UCL, Serie A",Lazio,Montenegro,LB,"RB, WB",5.5,7.8,9.0,1.8,1.3,1.3,0.5,47.1,2.0,0.0
Adam Masina,0.02,0.006,0.015,1.67,1994,29.0,Serie A,"Torino, Udinese",Morocco,CB,WB,6.7,8.3,8.5,-2.7,1.1,1.2,0.6,58.5,2.8,0.0
Adam Obert,-0.015,-0.013,-0.002,1.21,2002,20.0,Serie A,Cagliari,Slovakia,CB,LB,7.8,9.3,8.6,-1.7,1.5,1.1,0.6,50.9,2.9,0.0
Adam Ounas,0.008,0.01,-0.002,0.6,1996,26.0,Ligue 1,Lille,Algeria,RW,LW,14.2,10.2,10.7,0.8,1.3,1.2,1.4,50.0,5.4,0.0
Adam Smith,-0.008,-0.016,0.008,2.84,1991,32.0,Premier League,Bournemouth,England,RB,,6.2,8.7,8.4,-1.2,1.1,1.2,1.0,48.5,2.7,0.0
Adam Webster,0.04,0.028,0.012,1.93,1995,28.0,"UEL, Premier League",Brighton,England,CB,"LB, RB, LM",5.8,9.6,8.3,-2.7,1.1,1.3,0.6,59.7,2.6,0.0
Adam Wharton,-0.002,-0.009,0.007,1.77,2004,19.0,Premier League,Crystal Palace,England,CM,DM,8.3,11.4,8.4,-2.7,1.2,1.9,2.0,44.5,3.6,0.0
Adama Traoré,0.031,0.028,0.003,0.61,1996,27.0,Premier League,Fulham,Spain,RW,"AM, DM, LW",10.2,10.2,9.5,-3.0,0.9,1.2,0.9,52.5,4.2,0.0
Adem Zorgane,-0.022,-0.023,0.001,2.26,2000,23.0,Belgian Pro League,Charleroi,Algeria,CM,DM,19.0,18.5,12.5,0.3,1.4,1.6,1.9,49.3,5.0,0.0
Ademola Lookman,0.048,0.02,0.028,3.32,1997,25.0,"UEL, Serie A",Atalanta,Nigeria,ST,"AM, LW",13.6,10.5,10.3,-1.5,0.6,0.9,1.7,48.0,5.7,0.0
Aderlan Santos,0.003,-0.03,0.033,4.01,1989,34.0,Primeira Liga,Rio Ave,Brazil,CB,,6.4,6.5,7.8,6.9,1.9,1.9,0.4,58.4,2.5,0.0
Adi Nalic,-0.063,-0.06,-0.003,0.2,1997,25.0,Eredivisie,Almere City,Bosnia and Herzegovina,ST,,10.4,9.4,9.8,1.3,0.9,1.1,1.0,44.9,4.2,0.0
Adnan Januzaj,0.014,0.016,-0.002,0.28,1995,28.0,La Liga,Sevilla,Belgium,RW,LW,9.1,8.8,9.2,-4.1,1.0,1.4,1.7,52.8,4.6,0.0
Adnan Kovačević,-0.032,-0.024,-0.008,0.0,1993,29.0,UEL,RKS Raków,Bosnia and Herzegovina,CB,,7.5,7.4,8.7,-1.2,1.3,1.5,0.9,64.9,3.0,0.0
Adri Embarba,-0.019,-0.033,0.014,3.08,1992,31.0,La Liga,Almería,Spain,LW,"RW, LM",11.8,10.3,11.1,-4.2,0.8,1.5,4.0,42.2,5.1,0.0
Adrian Beck,-0.01,-0.009,-0.001,1.27,1997,26.0,Bundesliga,Heidenheim,Germany,AM,"DM, ST, CM",12.2,9.2,9.6,-4.4,0.8,1.5,0.7,44.8,4.0,0.0
Adrien Rabiot,0.042,-0.002,0.043,4.51,1995,28.0,Serie A,Juventus,France,CM,"DM, LM",9.2,10.1,8.5,4.7,1.2,1.5,0.4,58.7,4.4,0.0
Adrien Silva,-0.048,-0.042,-0.006,0.35,1989,34.0,Primeira Liga,Rio Ave,Portugal,CM,,8.1,10.1,9.8,-1.7,1.3,1.4,2.7,47.8,4.1,0.0
Adrien Tameze,0.006,-0.001,0.007,3.07,1994,29.0,Serie A,Torino,Cameroon,CB,CM,7.8,8.5,7.7,-3.2,2.3,1.1,0.4,45.1,3.0,0.0
Adrien Thomasson,0.04,0.044,-0.004,2.02,1993,29.0,"Ligue 1, UCL",Lens,France,AM,CM,15.7,9.7,11.1,-9.4,0.9,1.2,2.4,41.6,5.8,0.0
Adrien Truffert,0.057,0.014,0.043,3.9,2001,21.0,"UEL, Ligue 1",Rennes,France,LB,"LM, WB",7.7,9.5,11.2,-0.2,0.9,1.2,0.5,42.9,3.7,0.0
Adrià Altimira,-0.002,0.011,-0.013,1.06,2001,22.0,"UEL, La Liga",Villarreal,Spain,RB,"LB, RW, CB, RM",7.6,9.4,9.1,-1.2,1.0,1.5,0.6,41.4,2.9,0.0
Adrià Pedrosa,-0.001,0.003,-0.004,2.42,1998,25.0,"La Liga, UCL",Sevilla,Spain,LB,"ST, WB",9.6,9.0,10.9,0.8,1.1,1.6,0.7,41.6,4.1,0.0
Adrián Butzke,-0.064,-0.058,-0.007,0.33,1999,24.0,Primeira Liga,Vitória,Spain,ST,"LW, CM",8.2,7.5,10.2,-3.6,0.8,1.2,0.8,51.9,3.8,0.0
Adrián Marín,-0.028,-0.019,-0.008,0.38,1997,26.0,"Primeira Liga, UCL",Braga,Spain,LB,"RB, LW",7.5,9.5,9.9,-2.2,1.3,1.2,0.9,58.8,3.4,0.0
Adson,-0.005,-0.001,-0.004,0.31,2000,22.0,Ligue 1,Nantes,Brazil,AM,,10.4,11.1,8.7,-2.2,1.1,1.6,1.0,47.1,4.3,0.0
Adu Ares,-0.009,-0.007,-0.002,0.35,2001,21.0,La Liga,Athletic Bilbao,Spain,RW,LW,8.2,8.3,8.9,-1.7,1.0,1.4,0.9,47.1,4.0,0.0
Afonso Rodrigues,-0.026,-0.021,-0.005,0.28,2002,20.0,Primeira Liga,Famalicão,Portugal,RW,"LM, RM",9.2,8.7,9.0,0.8,1.1,1.1,0.9,54.8,4.4,0.0
Afonso freitas,-0.049,-0.044,-0.005,0.74,2000,23.0,Primeira Liga,Vitória,Portugal,LM,"LB, WB",8.1,7.8,9.3,-2.2,0.9,1.5,0.7,54.9,3.5,0.0
Agustín Martegani,-0.018,-0.011,-0.007,0.91,2000,23.0,Serie A,Salernitana,Argentina,CM,"AM, LM, RM",10.7,9.8,8.2,0.8,1.0,1.3,1.0,51.2,4.6,0.0
Ahmed Touba,-0.015,-0.011,-0.004,0.36,1998,25.0,Serie A,Lecce,Algeria,CB,,7.4,7.7,8.4,-1.2,1.5,1.4,0.9,48.9,3.3,0.0
Ahmetcan Kaplan,-0.027,-0.033,0.006,1.11,2003,20.0,Eredivisie,Ajax,Turkey,CB,,6.6,8.3,8.4,-3.2,1.2,1.6,0.7,60.2,3.4,0.0
Aiden O'Neill,-0.067,-0.07,0.003,1.32,1998,25.0,Belgian Pro League,Standard Liège,Australia,CM,CB,8.0,10.1,8.2,1.3,1.3,1.8,0.5,50.0,3.3,0.0
Aiham Ousou,-0.0,0.006,-0.006,0.6,2000,23.0,"UEL, La Liga","Häcken, Cádiz",Syria,CB,,8.4,8.9,8.0,-2.7,1.1,1.4,0.7,48.3,3.4,0.0
Aihen Muñoz,0.025,0.02,0.005,1.78,1997,25.0,"La Liga, UCL",Real Sociedad,Spain,LB,LM,8.4,10.1,11.1,-3.2,1.0,2.0,1.0,54.7,3.3,0.0
Aimar Oroz,-0.012,-0.03,0.018,3.04,2001,21.0,La Liga,Osasuna,Spain,CM,"AM, ST, RM, LM",12.9,10.9,8.2,-9.0,0.9,1.4,0.7,38.7,4.4,0.0
Ainsley Maitland-Niles,0.014,0.021,-0.008,2.13,1997,25.0,Ligue 1,Lyon,England,LB,"DM, RB, RM, CM, WB",9.0,9.2,8.6,-10.7,1.3,1.3,0.5,47.8,3.5,0.0
Aitor Cantalapiedra,0.013,0.014,-0.001,0.0,1996,27.0,UEL,Panathinaikos,Spain,LW,RW,10.6,9.4,9.2,-5.5,1.2,1.2,2.6,47.1,5.2,0.0
Aitor Fernández,0.008,0.009,-0.001,0.79,1991,32.0,La Liga,Osasuna,Spain,GK,,6.7,6.5,8.7,-1.2,0.8,0.9,0.8,48.5,2.7,2.9
Aitor Paredes,0.048,0.004,0.044,4.74,2000,23.0,La Liga,Athletic Bilbao,Spain,CB,,4.3,6.9,6.7,-2.1,1.2,0.7,0.3,58.7,1.8,0.0
Aitor Ruibal,0.034,0.032,0.002,1.67,1996,27.0,"UEL, La Liga",Real Betis,Spain,RB,RW,11.5,10.5,10.1,8.5,1.4,2.0,0.7,37.1,4.2,0.0
Ajdin Hrustic,-0.067,-0.058,-0.009,1.02,1996,27.0,Eredivisie,Heracles Almelo,Australia,RW,"AM, DM, CM",10.7,10.8,9.4,-1.6,0.8,1.2,2.6,46.2,4.7,0.0
Akor Adams,0.024,0.022,0.001,3.52,2000,23.0,Ligue 1,Montpellier,Nigeria,ST,RW,9.3,6.0,7.7,-13.6,0.6,0.6,0.4,47.5,4.7,0.0
Alaa Bellaarouch,-0.005,-0.016,0.011,1.82,2002,21.0,Ligue 1,Strasbourg,Morocco,GK,,4.5,4.5,9.0,-1.2,0.6,0.6,0.5,53.0,2.0,7.4
Alan,-0.012,-0.035,0.023,3.19,2000,23.0,Primeira Liga,Moreirense,Brazil,AM,ST,16.0,14.6,10.0,-1.5,0.6,1.6,3.9,30.8,6.2,0.0
Alan Minda,0.015,0.018,-0.003,2.27,2003,20.0,Belgian Pro League,Cercle Brugge,Ecuador,RW,"AM, LW, ST, RM",12.0,8.5,7.0,9.8,0.4,0.7,0.7,40.6,4.3,0.0
Alan Varela,0.067,0.019,0.048,4.22,2001,22.0,"Primeira Liga, UCL",Porto,Argentina,DM,CM,8.9,10.0,8.2,-1.5,1.4,1.3,1.5,50.6,4.2,0.0
Alan Virginius,-0.041,-0.035,-0.006,1.09,2003,20.0,Ligue 1,"Clermont Foot, Lille",France,RW,"LW, ST",8.1,7.3,8.3,-6.4,0.6,0.8,0.8,40.9,3.1,0.0
Alassane Pléa,0.039,0.028,0.012,3.22,1993,30.0,Bundesliga,Borussia Mönchengladbach,France,ST,"AM, LM",12.7,12.0,10.3,0.2,0.5,0.8,1.4,45.0,5.5,0.0
Alban Lafont,-0.045,-0.018,-0.027,2.6,1999,24.0,Ligue 1,Nantes,France,GK,,3.6,3.1,8.9,-1.2,0.4,0.4,0.5,59.5,1.5,-0.0
Albert Guðmundsson,0.003,-0.023,0.026,4.25,1997,26.0,Serie A,Genoa,Iceland,ST,"AM, CM",13.8,12.3,10.2,17.1,0.7,0.7,8.1,34.6,6.3,0.0
Albert Sambi Lokonga,-0.009,-0.002,-0.007,1.73,1999,23.0,Premier League,Luton Town,Belgium,CM,,8.4,11.2,7.2,-3.2,0.9,1.3,0.5,53.0,3.5,0.0
Alberto Brignoli,-0.001,-0.003,0.001,0.0,1991,31.0,UEL,Panathinaikos,Italy,GK,,6.5,6.1,8.7,-1.2,0.8,0.9,0.8,51.5,2.9,-1.7
