Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Alberto Cerri,-0.017,-0.017,-0.0,0.69,1996,27.0,Serie A,Empoli,Italy,ST,,8.8,7.8,10.1,-2.1,1.0,1.2,0.8,55.0,4.0,0.0
Alberto Dossena,-0.005,-0.012,0.007,4.01,1998,24.0,Serie A,Cagliari,Italy,CB,,5.7,7.4,7.5,-2.0,1.7,1.5,0.3,59.7,3.1,0.0
Alberto Grassi,-0.032,-0.038,0.006,2.07,1995,28.0,Serie A,Empoli,Italy,CM,,7.9,9.6,8.2,-5.5,2.3,1.2,0.6,46.2,3.7,0.0
Alberto Marí,-0.012,-0.005,-0.007,0.36,2001,22.0,La Liga,Valencia,Spain,ST,DM,8.5,8.3,8.7,-1.7,0.9,1.1,0.9,40.5,3.5,0.0
Alberto Moleiro,-0.007,-0.004,-0.002,2.4,2003,19.0,La Liga,Las Palmas,Spain,LW,"ST, LM, CM",11.0,11.3,8.8,4.7,0.7,0.8,0.4,42.6,3.6,0.0
Alberto Moreno,0.032,0.014,0.018,2.43,1992,31.0,"UEL, La Liga",Villarreal,Spain,LB,"LW, LM",9.4,9.0,9.0,-3.0,1.6,1.7,0.9,48.2,3.7,0.0
Alberto Soro,0.006,0.014,-0.008,1.3,1999,24.0,Primeira Liga,"Vizela, Granada",Spain,RW,"AM, LW, ST, LM, RM",11.2,10.5,9.1,3.8,0.7,1.6,0.6,39.2,4.7,0.0
Alec Van Hoorenbeeck,-0.071,-0.046,-0.025,0.48,1998,24.0,Eredivisie,"Twente, Mechelen",Belgium,CB,LB,6.9,7.9,8.7,-3.6,1.0,1.1,0.8,51.5,3.2,0.0
Aleix García,0.097,0.058,0.04,6.78,1997,26.0,La Liga,Girona,Spain,DM,CM,9.8,13.0,10.0,5.4,1.3,1.2,5.1,46.3,4.6,0.0
Alejandro Artunduaga,-0.056,-0.036,-0.02,0.0,1997,25.0,UEL,Sheriff Tiraspol,Colombia,LB,WB,7.5,8.7,9.5,-1.2,1.4,1.7,0.8,47.7,3.2,0.0
Alejandro Balde,0.046,0.029,0.017,2.39,2003,19.0,"La Liga, UCL",Barcelona,Spain,LB,"CB, WB",7.7,10.5,9.7,-2.2,0.7,1.2,0.4,50.0,3.6,0.0
Alejandro Garnacho,0.055,0.03,0.025,4.62,2004,19.0,"Premier League, UCL",Manchester United,Argentina,LW,RW,14.0,11.1,9.1,-1.9,1.0,1.0,0.4,34.4,6.6,0.0
Alejandro Marqués,0.008,0.015,-0.007,1.96,2000,22.0,Primeira Liga,Estoril,Venezuela,ST,LW,8.7,6.0,6.9,5.6,0.7,1.0,0.5,33.7,4.3,0.0
Alejandro Pozo Pozo,0.001,-0.002,0.003,1.35,1999,24.0,La Liga,Almería,Spain,RB,"RW, WB",9.5,10.6,10.7,-3.2,0.9,1.4,1.3,47.7,3.5,0.0
Aleksandar Busnić,-0.036,-0.028,-0.008,0.85,1997,25.0,Primeira Liga,Vizela,Serbia,CM,"RW, DM",9.0,8.6,8.4,-3.2,1.1,1.6,0.9,50.7,3.6,0.0
Aleksandar Dragović,-0.015,0.007,-0.022,0.0,1991,32.0,UCL,Red Star,Austria,CB,,7.2,8.3,7.6,-4.1,1.2,1.1,1.1,51.0,3.2,0.0
Aleksandar Pavlovic,0.05,0.036,0.014,2.16,2004,19.0,"Bundesliga, UCL",Bayern Munich,Germany,DM,CM,7.6,9.9,7.6,2.7,1.2,1.3,1.7,48.2,3.9,0.0
Aleksandar Radovanović,-0.089,-0.065,-0.024,1.1,1993,29.0,Belgian Pro League,"Kortrijk, Almería",Serbia,CB,,5.0,5.7,7.0,-3.2,1.9,1.6,0.5,60.8,2.1,0.0
Aleksandar Sedlar,0.011,0.006,0.005,1.39,1991,31.0,La Liga,Deportivo Alavés,Serbia,CB,,7.1,7.8,7.1,2.3,1.4,1.4,0.6,49.3,2.9,0.0
Aleksandar Ćirković,-0.02,-0.014,-0.006,0.0,2001,21.0,UEL,TSC Bačka Top,Serbia,ST,CM,9.7,9.5,9.0,0.8,1.0,1.2,1.4,50.0,4.2,0.0
Aleksandr Golovin,0.041,0.036,0.005,3.66,1996,27.0,Ligue 1,Monaco,Russia,AM,"LW, LM, CM",12.3,12.2,10.7,10.2,1.1,1.5,5.5,45.2,5.9,0.0
Aleksandr Kokorin,-0.018,-0.016,-0.002,0.0,1991,32.0,UEL,Aris Limassol FC,Russia,ST,,10.9,9.2,9.0,1.3,0.9,1.1,1.0,54.8,4.1,0.0
Aleksei Miranchuk,0.033,0.029,0.005,1.93,1995,27.0,"UEL, Serie A",Atalanta,Russia,AM,"RW, ST, WB",14.2,10.5,10.4,-6.4,0.7,0.8,3.4,47.1,6.0,0.0
Alemão,-0.045,-0.039,-0.006,2.47,2002,20.0,Primeira Liga,Portimonense,Brazil,CB,,6.2,6.2,7.6,5.2,1.4,1.6,0.4,56.8,2.3,0.0
Alen Halilović,-0.041,-0.032,-0.009,2.26,1996,27.0,Eredivisie,Fortuna Sittard,Croatia,AM,"RW, DM, ST, RM, CM",14.2,11.3,9.1,-6.0,0.7,1.0,6.2,37.6,6.7,0.0
Alessandro Bastoni,0.097,0.046,0.05,4.81,1999,24.0,"UCL, Serie A",Inter Milan,Italy,CB,,9.3,11.1,9.8,-3.5,1.4,1.6,0.5,58.5,4.4,0.0
Alessandro Buongiorno,0.035,-0.012,0.047,4.19,1999,24.0,Serie A,Torino,Italy,CB,,5.6,6.1,7.0,5.4,2.7,1.8,0.4,57.1,3.0,0.0
Alessandro Deiola,-0.016,-0.013,-0.003,2.04,1995,27.0,Serie A,Cagliari,Italy,CM,"CB, DM, LM",7.2,8.9,8.3,-7.3,0.8,1.4,0.8,52.4,3.2,0.0
Alessandro Di Pardo,-0.004,-0.009,0.004,0.49,1999,24.0,Serie A,Cagliari,Italy,RB,"RW, CB, RM, WB",8.4,9.0,9.8,-1.7,1.3,1.1,0.9,51.4,3.5,0.0
Alessandro Florenzi,0.064,0.047,0.017,3.23,1991,32.0,"UEL, Serie A",AC Milan,Italy,RB,LB,10.0,10.1,11.2,-6.0,1.3,1.7,4.3,43.1,4.9,0.0
Alessandro Sorrentino,-0.025,-0.004,-0.021,0.66,2002,21.0,Serie A,Monza,Italy,GK,,6.4,6.3,8.5,-1.2,0.8,0.9,0.8,50.0,2.9,2.6
Alessandro Vogliacco,-0.018,-0.012,-0.007,1.46,1998,24.0,Serie A,Genoa,Italy,CB,WB,7.6,9.5,8.9,-3.2,1.9,1.3,1.0,54.6,2.8,0.0
Alessandro Zanoli,-0.001,-0.007,0.006,1.34,2000,22.0,Serie A,"Napoli, Salernitana",Italy,WB,"LB, RW, RB, LM, RM",7.9,8.9,9.4,-1.2,0.8,1.4,0.8,45.9,3.0,0.0
Alessio Castro-Montes,-0.036,-0.048,0.012,2.15,1997,26.0,"UEL, Belgian Pro League","Gent, Union Saint-Gilloise",Belgium,WB,"RB, RM",10.0,11.1,10.3,9.5,1.6,2.0,2.2,57.1,3.7,0.0
Alessio Cragno,0.004,0.001,0.002,0.38,1994,29.0,Serie A,Sassuolo,Italy,GK,,7.1,7.3,8.9,-1.2,0.9,1.1,0.9,50.0,3.2,3.2
Alessio Romagnoli,0.044,-0.005,0.049,4.15,1995,28.0,"UCL, Serie A",Lazio,Italy,CB,,4.3,6.5,6.4,-6.9,1.1,1.0,0.3,55.4,2.2,0.0
Alessio Zerbin,0.007,0.006,0.001,1.21,1999,24.0,Serie A,"Napoli, Monza",Italy,WB,"LB, AM, RW, LW",9.9,8.4,9.3,-2.7,0.9,1.4,0.9,42.9,4.4,0.0
Alex Baena,0.044,0.014,0.03,4.45,2001,22.0,"UEL, La Liga",Villarreal,Spain,CM,"LW, ST, LM",16.1,12.3,12.2,-11.8,0.9,1.0,5.4,45.6,6.7,0.0
Alex Iwobi,0.059,0.04,0.019,4.29,1996,27.0,Premier League,"Fulham, Everton",Nigeria,LW,"AM, RW, DM, LM, RM",15.7,15.3,9.3,-2.5,0.9,0.9,0.6,41.2,5.1,0.0
