Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Abdelhamid Sabiri,-0.021,-0.022,0.0,1.31,1996,25.0,"World Cup, Serie A","Morocco, Sampdoria",Morocco,CM,"AM, LW, LM",14.3,9.6,11.1,-5.6,1.0,1.1,4.0,50.5,6.0,0.0
Abdelkahar Kadri,-0.028,-0.022,-0.006,1.44,2000,22.0,Belgian Pro League,Kortrijk,Algeria,CM,RW,15.0,14.0,9.7,3.9,1.6,2.0,0.8,48.2,4.8,0.0
Abdelkarim Hassan,0.012,0.01,0.003,0.0,1993,28.0,World Cup,Qatar,Qatar,CB,,10.0,10.7,9.6,-4.9,1.1,1.3,1.0,52.6,4.0,0.0
Abdessamad Ezzalzouli,0.01,0.007,0.004,2.2,2001,20.0,"World Cup, La Liga","Morocco, Osasuna",Morocco,LW,"RW, LM, RM",15.4,13.0,11.4,2.4,0.7,1.5,1.8,36.9,5.9,0.0
Abdou Diallo,0.026,0.018,0.008,0.76,1996,26.0,"World Cup, Bundesliga, UCL","RB Leipzig, Senegal",Senegal,CB,"LB, AM, DM, CM",7.6,10.0,9.3,-0.3,1.2,1.2,0.7,51.3,2.9,0.0
Abdou Harroui,0.016,0.014,0.002,0.98,1998,24.0,Serie A,Sassuolo,Netherlands,CM,"DM, RM, LM",10.0,10.5,9.2,-0.8,1.0,1.3,0.8,54.2,4.0,0.0
Abdoul Kader Bamba,-0.009,-0.006,-0.003,0.11,1994,28.0,"UEL, Ligue 1",Nantes,France,LW,"DM, LM",10.5,9.6,9.0,-4.4,1.3,1.3,1.8,52.8,4.3,0.0
Abdoulaye Bamba,-0.021,-0.021,-0.001,1.67,1990,32.0,Ligue 1,Angers,Côte d'Ivoire,CB,RB,6.6,7.2,7.9,-3.4,1.4,1.2,0.6,52.3,2.5,0.0
Abdoulaye Doucouré,0.036,0.027,0.009,2.53,1993,29.0,Premier League,Everton,Mali,CM,"AM, DM, LM, RM",13.2,8.9,8.0,8.9,1.1,1.5,0.6,39.0,3.9,0.0
Abdoulaye Seck,0.008,0.013,-0.005,0.0,1992,30.0,UCL,Maccabi Haifa,Senegal,CB,,7.6,7.8,8.6,4.8,1.2,1.5,1.0,61.5,3.3,0.0
Abdoulaye Sissako,-0.074,-0.068,-0.007,1.94,1998,24.0,Belgian Pro League,Zulte Waregem,France,CM,"DM, LM, RM",9.0,11.1,8.6,-5.1,1.5,1.6,0.4,49.0,2.9,0.0
Abdoulaye Sylla,-0.082,-0.071,-0.011,1.26,2000,22.0,Belgian Pro League,R.F.C. Seraing,Guinea,CB,RB,7.6,9.0,8.6,-3.9,2.0,1.5,0.7,50.8,2.2,0.0
Abdu Conté,-0.034,-0.013,-0.021,1.49,1998,24.0,Ligue 1,Troyes,Portugal,LB,"CB, LM, WB",9.4,10.6,9.9,-1.3,0.9,1.5,1.0,57.9,3.2,0.0
Abdul Fatawu Issahaku,-0.014,-0.009,-0.005,0.15,2004,18.0,"Primeira Liga, UCL",Sporting CP,Ghana,AM,"RW, RB, CM, WB",10.3,8.8,9.9,-5.8,1.2,1.3,1.0,45.5,4.5,0.0
Abdul Mumin,-0.0,0.004,-0.004,1.27,1998,24.0,La Liga,Rayo Vallecano,Ghana,CB,RB,6.6,7.0,8.3,-5.4,1.2,1.2,0.7,46.2,2.9,0.0
Abdul-Aziz Yakubu,-0.063,-0.058,-0.006,1.16,1998,23.0,Primeira Liga,Rio Ave,Ghana,ST,,8.5,6.9,8.4,10.0,0.8,0.8,0.6,36.4,3.7,0.0
Abdulaziz Hatem,-0.023,-0.023,-0.0,0.0,1990,31.0,World Cup,Qatar,Qatar,CM,,9.1,8.6,9.0,-3.4,1.1,1.2,1.4,48.7,3.6,0.0
Abdón Prats,-0.001,-0.0,-0.001,0.57,1992,29.0,La Liga,Mallorca,Spain,ST,CM,9.6,8.4,9.3,-1.8,0.9,1.0,0.9,36.1,3.8,0.0
Abdülkadir Ömür,0.015,0.016,-0.001,0.0,1999,23.0,UEL,Trabzonspor,Turkey,RW,,9.7,9.5,9.1,-4.9,1.3,1.3,1.0,50.0,3.9,0.0
Abel Ruiz,0.031,0.014,0.017,3.36,2000,22.0,"Primeira Liga, UEL",Braga,Spain,ST,RM,11.0,6.6,7.7,-0.2,0.6,0.7,0.5,31.0,4.4,0.0
Abner,0.0,0.02,-0.019,0.84,2000,22.0,"UEL, La Liga",Real Betis,Brazil,LB,DM,8.2,8.2,10.7,-11.2,1.3,1.4,1.0,43.6,3.2,0.0
Abou Ouattara,-0.013,-0.013,0.0,0.0,1999,22.0,UEL,Sheriff Tiraspol,Burkina Faso,RW,,9.4,9.2,9.1,-3.9,1.1,1.2,1.1,46.5,4.0,0.0
Abou-Malal Ba,-0.086,-0.08,-0.007,0.48,1998,24.0,Belgian Pro League,R.F.C. Seraing,France,CM,,8.4,9.3,8.2,-3.4,1.9,1.1,0.8,44.5,2.8,0.0
Aboubakar Kamara,-0.026,-0.022,-0.004,0.0,1995,27.0,UEL,Olympiacos,Mauritania,ST,,10.5,8.7,9.8,-3.9,1.1,1.1,1.1,47.8,4.2,0.0
Aboubakary Koita,-0.056,-0.053,-0.003,1.3,1998,23.0,Belgian Pro League,Sint-Truiden,Mauritania,WB,"LB, ST, LM",16.4,12.4,8.9,-12.1,1.9,1.3,2.2,47.6,5.4,0.0
Achraf Dari,-0.0,-0.008,0.008,1.82,1999,23.0,"World Cup, Ligue 1","Morocco, Stade Brestois",Morocco,CB,,5.7,6.9,8.4,1.7,1.6,1.2,0.9,55.3,2.5,0.0
Achraf Douiri,-0.067,-0.062,-0.005,0.33,1999,22.0,Eredivisie,Volendam,Netherlands,RB,RM,9.5,8.9,9.3,-3.9,1.3,1.9,1.0,48.6,3.6,0.0
Achraf Hakimi,0.105,0.052,0.052,4.49,1998,23.0,"World Cup, Ligue 1, UCL","Morocco, Paris Saint-Germain",Morocco,RB,"RM, WB",11.2,9.9,10.0,-0.2,1.3,2.0,0.6,48.5,4.0,0.0
Adam Armstrong,-0.006,-0.013,0.007,1.79,1997,25.0,Premier League,Southampton,England,ST,"AM, RW, LW, LM",10.1,8.7,7.7,-3.5,0.8,1.0,0.6,36.7,3.7,0.0
Adam Forshaw,-0.014,-0.006,-0.007,0.61,1991,30.0,Premier League,Leeds United,England,DM,"LM, CM",9.9,10.2,8.8,-3.4,1.1,1.5,2.6,45.3,3.7,0.0
Adam Hložek,0.038,0.032,0.006,2.16,2002,20.0,"Bundesliga, UEL",Bayer Leverkusen,Czechia,ST,"AM, RW, LW",11.5,7.8,8.6,3.5,0.8,0.8,1.6,40.2,5.0,0.0
Adam Lallana,0.034,0.03,0.004,1.18,1988,34.0,Premier League,Brighton,England,AM,ST,10.2,8.5,8.9,2.2,0.9,1.1,0.8,49.0,4.1,0.0
Adam Marušić,0.023,-0.008,0.031,4.3,1992,29.0,"UEL, Serie A",Lazio,Montenegro,LB,RB,7.4,9.0,8.2,-7.3,1.5,1.4,0.8,52.2,2.7,0.0
Adam Masina,-0.009,0.0,-0.009,1.05,1994,28.0,Serie A,Udinese,Morocco,CB,WB,6.7,7.9,9.4,6.4,1.4,1.2,0.7,60.5,2.7,0.0
Adam Matthews,-0.043,-0.023,-0.021,0.0,1992,30.0,UEL,AC Omonia,Wales,RB,WB,8.9,9.3,9.3,-3.4,1.3,1.3,1.3,53.8,3.1,0.0
Adam Ounas,0.038,0.03,0.009,1.81,1996,25.0,Ligue 1,"Napoli, Lille",Algeria,RW,"AM, ST, RM",13.4,12.1,12.1,-9.1,1.1,1.3,3.5,46.0,6.2,0.0
Adam Smith,0.013,-0.011,0.024,4.38,1991,31.0,Premier League,Bournemouth,England,RB,"LB, CB, WB",7.1,8.7,8.6,-5.8,1.2,1.3,0.5,45.6,2.4,0.0
Adam Vlkanova,-0.014,-0.01,-0.004,0.0,1994,27.0,UCL,Viktoria Plzeň,Czechia,AM,,10.4,9.8,9.6,-0.3,1.0,1.1,1.6,51.2,4.5,0.0
Adam Webster,0.074,0.048,0.026,3.87,1995,27.0,Premier League,Brighton,England,CB,,5.3,9.0,8.5,-11.6,1.2,1.0,0.6,63.6,2.7,0.0
Adama Soumaoro,-0.01,-0.005,-0.005,2.44,1992,30.0,Serie A,Bologna,France,CB,,4.6,7.0,5.7,-4.9,1.1,1.2,0.5,60.0,2.1,0.0
Adama Traoré,-0.045,-0.045,-0.0,0.0,1995,27.0,UEL,Ferencváros,Mali,LW,RW,9.8,10.4,9.8,-5.1,1.0,1.3,0.8,55.0,3.9,0.0
Adama Traoré,0.009,-0.003,0.013,2.17,1996,26.0,Premier League,Wolves,Spain,RW,"AM, LW, ST, RM, CM",13.2,11.8,11.1,-0.3,0.7,0.9,0.6,57.1,4.9,0.0
Adem Zorgane,0.008,-0.025,0.033,4.0,2000,22.0,Belgian Pro League,Charleroi,Algeria,CM,,16.0,15.0,11.2,3.4,1.3,1.6,2.5,46.4,4.5,0.0
Ademola Lookman,0.057,0.052,0.006,3.15,1997,24.0,Serie A,Atalanta,Nigeria,ST,"AM, RW, LW",16.7,11.4,9.5,10.2,0.6,0.7,1.8,40.1,6.1,0.0
Aderlan Santos,0.024,-0.019,0.043,4.41,1989,33.0,Primeira Liga,Rio Ave,Brazil,CB,,6.2,5.6,7.3,-6.0,2.1,1.5,0.5,57.8,2.3,0.0
Adil Aouchiche,0.009,0.01,-0.001,0.37,2002,20.0,Ligue 1,Lorient,France,DM,"AM, ST, CM",10.0,11.8,10.3,-5.8,1.3,1.2,1.0,46.0,4.2,0.0
Adil Auassar,-0.078,-0.061,-0.017,1.51,1986,35.0,Eredivisie,Sparta Rotterdam,Netherlands,CB,LW,4.4,8.4,7.7,-4.4,1.9,1.5,0.8,50.5,2.0,0.0
Adil Rami,-0.049,-0.017,-0.031,1.61,1985,36.0,Ligue 1,Troyes,France,CB,,6.2,6.6,7.5,-6.8,1.6,1.2,0.6,58.2,2.6,0.0
Ado Onaiwu,-0.019,-0.015,-0.004,1.34,1995,26.0,Ligue 1,Toulouse,Japan,ST,"AM, RW, RM",9.8,7.3,9.1,-1.2,0.7,1.0,0.7,49.5,4.0,0.0
Adolfo Gaich,0.008,0.009,-0.001,1.05,1999,23.0,Serie A,Hellas Verona,Argentina,ST,,12.0,7.9,9.1,-5.3,0.9,1.0,0.8,38.2,4.8,0.0
Adri Embarba,0.01,0.008,0.002,2.22,1992,30.0,La Liga,"Espanyol, Almería",Spain,LW,"RW, ST, LM, CM",13.8,12.0,11.8,-3.8,1.0,1.9,6.2,34.3,6.3,0.0
Adrian Fein,-0.088,-0.078,-0.011,0.53,1999,23.0,Eredivisie,Excelsior,Germany,DM,RM,9.0,10.7,8.0,-3.9,0.9,1.1,0.8,48.9,3.0,0.0
Adriano,-0.056,-0.056,0.0,2.11,1999,22.0,Primeira Liga,Santa Clara,Brazil,DM,"CB, CM",10.5,9.8,7.7,-2.3,1.4,1.6,0.4,41.6,3.0,0.0
Adrien Hunou,-0.001,-0.007,0.006,3.08,1994,28.0,Ligue 1,Angers,France,ST,"AM, LW, LM, CM",12.0,7.9,9.2,-12.2,0.7,1.2,0.6,44.5,4.7,0.0
Adrien Rabiot,0.091,0.046,0.045,5.7,1995,27.0,"World Cup, UEL, Serie A","Juventus, France",France,CM,"DM, LM",12.0,11.7,9.0,8.3,1.4,1.8,0.3,53.2,4.9,0.0
Adrien Tameze,-0.026,-0.047,0.02,3.61,1994,28.0,Serie A,Hellas Verona,Cameroon,CM,"CB, DM",9.6,9.5,7.7,-7.7,1.4,1.2,0.6,47.8,3.0,0.0
Adrien Thomasson,0.031,0.024,0.008,3.59,1993,28.0,Ligue 1,"Strasbourg, Lens",France,AM,"RW, LW, LM, CM",14.3,8.6,9.7,-0.7,0.7,1.4,0.7,46.8,5.2,0.0
Adrien Trebel,-0.039,-0.032,-0.007,0.63,1991,31.0,Belgian Pro League,Anderlecht,France,CM,RM,9.8,8.7,9.9,-4.9,1.7,1.3,1.6,53.1,3.7,0.0
Adrien Truffert,0.043,0.018,0.024,3.34,2001,20.0,"UEL, Ligue 1",Rennes,France,LB,"ST, LM",9.9,9.1,11.5,-8.6,1.2,1.7,1.0,54.2,4.0,0.0
Adrià Pedrosa,0.025,0.021,0.005,0.36,1998,24.0,La Liga,Espanyol,Spain,LB,,10.6,9.2,8.8,-3.9,1.5,1.2,1.0,50.0,4.0,0.0
Adrián Butzke,-0.006,-0.002,-0.004,1.79,1999,23.0,Primeira Liga,Paços de Ferreira,Spain,ST,,11.3,7.6,8.5,-5.1,0.8,0.9,0.5,51.9,5.2,0.0
Adrián Guerrero,-0.01,-0.007,-0.002,0.0,1998,24.0,UEL,Zürich,Spain,WB,,10.2,9.1,9.2,-3.4,1.0,1.6,1.0,46.0,3.7,0.0
Adrián Marín,-0.022,-0.037,0.015,3.15,1997,25.0,Primeira Liga,Gil Vicente FC,Spain,LB,,9.7,12.5,11.4,-5.4,1.4,1.7,0.7,53.6,2.7,0.0
Afonso Taira,-0.066,-0.068,0.002,1.86,1992,30.0,Primeira Liga,Casa Pia,Portugal,CM,,13.1,12.6,9.8,-5.4,1.7,2.5,0.6,53.8,4.0,0.0
Afonso freitas,-0.061,-0.06,-0.001,1.78,2000,22.0,Primeira Liga,Vitória,Portugal,LM,"LB, RB, WB",9.1,9.1,9.7,-0.8,1.2,1.2,0.7,51.1,3.2,0.0
Agustín Marchesín,-0.001,0.002,-0.003,2.36,1988,34.0,La Liga,Celta Vigo,Argentina,GK,,4.2,3.8,8.5,-3.4,0.5,0.5,0.5,54.0,1.7,11.0
Agustín Rogel,-0.045,-0.026,-0.019,1.49,1997,24.0,Bundesliga,Hertha Berlin,Uruguay,CB,,5.9,6.7,8.0,-7.3,1.1,1.0,0.7,55.9,2.3,0.0
Agustín Álvarez Martínez,0.01,0.009,0.001,0.54,2001,21.0,Serie A,Sassuolo,Uruguay,ST,"AM, RW, LW, RM",10.2,7.6,9.1,-5.6,1.2,1.2,0.9,46.3,4.4,0.0
Ahmad Nourollahi,-0.016,-0.012,-0.004,0.0,1993,29.0,World Cup,Iran,Iran,CM,RM,8.3,9.2,8.7,-3.9,1.5,1.3,1.1,51.4,3.6,0.0
Ahmed El Messaoudi,-0.079,-0.068,-0.011,1.11,1995,26.0,Eredivisie,Emmen,Morocco,DM,"AM, LW, ST, CM",12.3,10.5,8.9,-5.7,1.0,1.2,0.8,54.2,4.7,0.0
Aihen Muñoz,0.024,0.015,0.009,2.75,1997,24.0,"UEL, La Liga",Real Sociedad,Spain,LB,,9.0,8.6,10.7,-4.4,0.8,1.6,0.8,47.6,3.2,0.0
Aimar Oroz,-0.008,-0.012,0.005,2.67,2001,20.0,La Liga,Osasuna,Spain,CM,"AM, ST, LM, RM",15.5,10.1,9.0,-6.6,1.4,1.1,0.9,37.8,5.8,0.0
Ainsley Maitland-Niles,-0.012,-0.009,-0.004,1.83,1997,24.0,Premier League,Southampton,England,RB,"LB, CB, DM, CM, WB",9.4,9.6,9.1,-3.4,1.6,1.7,0.6,53.3,2.8,0.0
Aitor Fernández,0.03,0.014,0.016,3.04,1991,31.0,La Liga,Osasuna,Spain,GK,,4.1,3.9,9.6,-3.4,0.6,0.6,0.8,52.6,1.7,1.2
Aitor Paredes,0.036,0.026,0.01,1.42,2000,22.0,La Liga,Athletic Bilbao,Spain,CB,"LB, RB",6.4,7.4,7.2,-5.8,1.5,1.1,0.7,61.3,2.8,0.0
Aitor Ruibal,0.013,0.008,0.005,2.17,1996,26.0,"UEL, La Liga",Real Betis,Spain,RB,"RW, LW",11.9,11.6,11.1,-0.8,1.8,1.9,0.4,48.0,4.1,0.0
Ajdin Hrustic,-0.005,-0.006,0.001,0.3,1996,26.0,"World Cup, Serie A","Australia, Hellas Verona",Australia,AM,,10.1,9.9,9.0,-4.9,1.0,1.1,1.3,45.0,3.9,0.0
Akim Zedadka,0.007,-0.006,0.013,2.82,1995,27.0,Ligue 1,"Auxerre, Lille",Algeria,RB,WB,8.4,8.0,9.5,-2.3,1.4,1.3,0.9,50.6,3.7,0.0
Akram Afif,-0.023,-0.021,-0.002,0.0,1996,25.0,World Cup,Qatar,Qatar,ST,,10.6,10.0,9.3,-3.4,1.0,1.1,1.3,50.0,4.0,0.0
Alan Ruiz,-0.02,-0.033,0.013,3.07,1993,28.0,Primeira Liga,Arouca,Argentina,AM,"RM, CM",16.4,14.7,10.9,-2.1,0.7,1.2,1.9,50.6,6.2,0.0
Alan Virginius,0.044,0.046,-0.003,0.45,2003,19.0,Ligue 1,Lille,France,LW,"RW, ST",10.4,9.4,9.1,-12.3,1.1,1.2,1.0,39.2,4.4,0.0
Alassane Pléa,0.007,-0.007,0.014,2.56,1993,29.0,Bundesliga,Borussia Mönchengladbach,France,LW,"ST, LM",15.0,11.8,11.0,-13.5,1.0,0.9,0.9,40.3,4.9,0.0
Alban Lafont,0.002,-0.013,0.015,4.66,1999,23.0,"UEL, Ligue 1",Nantes,France,GK,,2.9,2.1,8.1,-3.4,0.3,0.3,0.5,58.1,1.1,-4.1
Albert Erlykke,-0.012,-0.007,-0.005,0.0,2001,21.0,UEL,Bodø/Glimt,Denmark,LM,,9.7,9.6,9.7,-1.8,1.5,1.3,1.3,46.2,4.1,0.0
Albert Sambi Lokonga,0.034,0.016,0.018,1.21,1999,22.0,"UEL, Premier League","Crystal Palace, Arsenal",Belgium,CM,"DM, LM, RM",9.2,9.1,7.1,-4.9,1.4,1.3,0.6,47.6,3.8,0.0
Alberth Elis,-0.005,-0.003,-0.002,0.35,1996,26.0,Ligue 1,Stade Brestois,Honduras,ST,"RM, LM",12.2,8.9,8.5,-5.8,1.0,1.3,1.0,40.9,4.3,0.0
Alberto Grassi,-0.026,-0.018,-0.008,1.42,1995,27.0,Serie A,Empoli,Italy,CM,"DM, LM, RM",7.7,9.1,8.8,-6.3,2.1,1.8,0.6,60.5,3.2,0.0
Alberto Moreno,0.035,0.028,0.008,2.15,1992,30.0,La Liga,Villarreal,Spain,LB,LW,9.1,9.3,9.3,-7.7,1.8,1.3,1.3,51.8,3.7,0.0
Albian Ajeti,-0.008,-0.007,-0.001,0.0,1997,25.0,UEL,Sturm Graz,Switzerland,ST,,10.1,8.2,8.5,-6.8,1.0,1.0,1.0,48.8,4.1,0.0
Albin Ekdal,0.0,-0.015,0.015,2.41,1989,33.0,Serie A,Spezia,Sweden,CM,"DM, RM",10.5,10.1,8.8,-16.0,1.6,1.4,0.5,58.2,3.8,0.0
Alec Van Hoorenbeeck,-0.068,-0.053,-0.014,1.59,1998,23.0,Belgian Pro League,Mechelen,Belgium,LB,"CB, WB",7.0,10.1,10.1,-3.9,1.8,1.4,1.0,58.1,2.4,0.0
Aleix García,0.024,0.008,0.016,3.67,1997,25.0,La Liga,Girona,Spain,CM,DM,14.1,12.1,10.2,-6.9,1.6,1.2,7.3,56.6,5.7,0.0
Aleix Vidal,-0.006,-0.009,0.003,1.38,1989,32.0,La Liga,Espanyol,Spain,RW,"LB, RB, LW, RM",9.9,8.6,9.1,-3.9,1.6,1.0,1.7,45.5,3.9,0.0
Alejandro Balde,0.092,0.053,0.039,5.17,2003,18.0,"World Cup, La Liga, UCL","Spain, Barcelona",Spain,LB,RB,9.4,8.4,8.9,-7.3,0.8,1.5,0.3,46.8,3.9,0.0
Alejandro Garnacho,0.097,0.084,0.012,1.2,2004,18.0,"UEL, Premier League",Manchester United,Argentina,LW,"RW, LM",11.4,10.1,9.4,-1.1,1.2,1.0,0.8,40.1,5.3,0.0
Alejandro Marqués,-0.056,-0.047,-0.008,0.63,2000,21.0,Primeira Liga,Estoril,Venezuela,ST,,8.5,7.2,8.6,0.7,1.0,1.1,0.7,37.4,3.7,0.0
Alejandro Pozo Pozo,0.023,0.009,0.014,2.93,1999,23.0,La Liga,Almería,Spain,RB,"RW, LW, RM, WB",10.9,10.6,11.7,-5.8,1.6,1.3,1.4,42.1,3.6,0.0
Aleksa Terzić,0.067,0.031,0.035,1.78,1999,22.0,Serie A,Fiorentina,Serbia,LB,RB,12.1,11.1,10.6,-0.3,1.0,1.3,1.9,48.0,4.7,0.0
Aleksandar Boljević,-0.023,-0.028,0.005,0.25,1995,26.0,Belgian Pro League,Standard Liège,Montenegro,WB,RW,10.5,9.1,10.1,-5.4,1.1,1.5,3.5,50.0,4.4,0.0
Aleksandar Dragović,0.008,0.005,0.004,0.0,1991,31.0,UEL,Red Star,Austria,CB,,8.3,8.8,7.8,-5.8,1.6,1.2,0.9,53.2,3.5,0.0
Aleksandar Katai,0.012,0.012,0.0,0.0,1991,31.0,UEL,Red Star,Serbia,AM,LW,11.0,9.6,9.2,3.2,0.9,1.2,1.5,45.7,4.3,0.0
Aleksandar Mitrović,0.05,0.043,0.006,3.55,1994,27.0,"World Cup, Premier League","Fulham, Serbia",Serbia,ST,,13.7,6.9,10.0,3.9,0.5,0.7,0.4,47.7,6.0,0.0
Aleksandar Pešić,-0.001,0.001,-0.002,0.0,1992,30.0,UEL,Red Star,Serbia,ST,,9.7,7.3,8.3,-6.5,0.9,1.0,0.9,41.6,4.4,0.0
Aleksandar Radovanović,-0.06,-0.051,-0.009,0.81,1993,28.0,Belgian Pro League,Kortrijk,Serbia,CB,,6.6,7.2,8.1,-4.9,1.5,1.4,0.7,57.7,2.7,0.0
Aleksandr Golovin,0.042,0.023,0.018,4.19,1996,26.0,"UEL, Ligue 1",Monaco,Russia,LW,"AM, LM",15.4,10.9,10.7,5.3,1.6,1.5,4.7,45.7,5.4,0.0
Aleksei Miranchuk,0.024,0.012,0.013,3.27,1995,26.0,Serie A,Torino,Russia,AM,,14.6,10.8,8.5,2.0,0.5,0.7,1.1,41.6,5.2,0.0
Alemão,-0.05,-0.03,-0.02,0.36,2002,19.0,Primeira Liga,Portimonense,Brazil,CB,,8.1,8.7,8.8,-3.4,1.4,1.7,0.9,50.0,3.1,0.0
Alessandro Albanese,-0.048,-0.04,-0.007,0.57,2000,22.0,Belgian Pro League,Oostende,Belgium,LM,"RM, WB",12.0,11.5,9.6,-7.3,1.3,1.7,1.7,50.0,4.4,0.0
Alessandro Bastoni,0.084,0.032,0.053,4.37,1999,23.0,"UCL, Serie A",Inter Milan,Italy,CB,,8.2,11.6,10.0,-9.1,1.4,1.2,0.9,60.2,3.4,0.0
Alessandro Buongiorno,0.038,-0.007,0.045,4.56,1999,23.0,Serie A,Torino,Italy,CB,,5.6,6.9,7.8,-8.6,2.4,1.3,0.4,62.7,3.0,0.0
Alessandro Ciranni,-0.056,-0.053,-0.003,1.96,1996,26.0,Belgian Pro League,Zulte Waregem,Belgium,RB,"CB, WB",9.9,9.0,10.4,-3.7,1.4,1.8,2.1,40.7,3.0,0.0
Alessandro Florenzi,0.018,0.023,-0.005,0.32,1991,31.0,Serie A,AC Milan,Italy,RB,,10.0,8.9,10.1,-7.3,1.4,1.4,2.5,51.4,4.2,0.0
Alessandro Tuia,-0.005,-0.008,0.004,0.69,1990,32.0,Serie A,Lecce,Italy,CB,,8.6,8.8,8.8,-3.9,1.9,1.3,0.9,46.6,3.1,0.0
Alessandro Zanoli,-0.012,0.014,-0.026,2.01,2000,21.0,"UCL, Serie A","Napoli, Sampdoria",Italy,RB,"AM, CB, WB",9.4,9.0,9.3,-6.2,1.1,1.3,0.9,42.5,3.6,0.0
Alessio Castro-Montes,0.001,-0.008,0.009,2.54,1997,25.0,Belgian Pro League,Gent,Belgium,WB,"LB, CB, LM",11.7,10.6,10.5,-6.5,1.8,1.9,2.3,54.1,4.4,0.0
Alessio Romagnoli,0.067,0.007,0.059,5.56,1995,27.0,"UEL, Serie A",Lazio,Italy,CB,,4.2,5.3,6.3,-0.8,1.5,0.9,0.7,60.2,2.0,0.0
Alessio Zerbin,0.0,0.004,-0.004,0.28,1999,23.0,"UCL, Serie A",Napoli,Italy,LW,"RW, LM",8.5,9.3,9.9,-5.8,1.2,1.6,1.0,48.6,4.1,0.0
Alex Baena,0.05,0.05,-0.001,3.43,2001,21.0,La Liga,Villarreal,Spain,LW,"AM, LM, ST",15.4,11.2,10.1,6.2,0.8,1.2,0.9,29.6,6.9,0.0
Alex Bangura,-0.099,-0.074,-0.025,1.55,1999,23.0,Eredivisie,Cambuur,Sierra Leone,LB,CB,9.2,11.4,9.3,-0.8,1.1,1.4,0.9,42.4,4.0,0.0
Alex Ferrari,-0.024,-0.025,0.002,2.25,1994,28.0,Serie A,"Cremonese, Sampdoria",Italy,CB,RB,5.7,7.9,8.4,-4.4,2.3,1.7,0.5,58.2,2.5,0.0
Alex Iwobi,0.015,-0.013,0.028,5.06,1996,26.0,Premier League,Everton,Nigeria,RW,"AM, LM, RM, CM",15.8,15.4,9.9,-5.3,1.0,1.3,1.4,37.5,4.4,0.0
Alex Král,-0.023,-0.025,0.002,2.86,1998,24.0,Bundesliga,Schalke 04,Czechia,DM,CM,11.0,11.7,8.5,-10.4,1.0,1.3,0.4,49.2,3.7,0.0
