Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Aaron Cresswell,0.025,-0.002,0.027,3.52,1989,32.0,Premier League,West Ham,England,LB,CB,9.7,12.5,10.1,-4.9,1.4,0.9,5.6,50.6,3.7,0.0
Aaron Hickey,-0.013,-0.018,0.005,2.47,2002,20.0,Premier League,Brentford,Scotland,RB,"CB, WB",7.5,11.8,7.2,-5.4,1.2,1.6,0.7,44.3,3.4,0.0
Aaron Meijers,-0.052,-0.054,0.002,0.29,1987,34.0,Eredivisie,Sparta Rotterdam,Netherlands,LB,,9.9,9.8,10.0,-3.4,1.3,1.6,1.4,52.3,4.0,0.0
Aaron Mooy,-0.011,-0.006,-0.005,0.0,1990,31.0,"World Cup, UCL","Australia, Celtic",Australia,DM,CM,9.3,10.0,10.2,-3.9,1.2,1.4,1.5,50.0,3.4,0.0
Aaron Ramsdale,0.057,0.012,0.045,6.23,1998,24.0,"UEL, Premier League",Arsenal,England,GK,,2.2,2.0,8.2,-3.4,0.3,0.4,0.3,56.1,1.2,2.8
Aaron Ramsey,0.009,-0.0,0.01,0.14,1990,31.0,"World Cup, Ligue 1","Nice, Wales",Wales,CM,"AM, DM, RM",11.4,11.9,10.3,-9.9,1.1,1.5,3.1,42.6,4.5,0.0
Aaron Wan-Bissaka,0.059,0.035,0.023,2.62,1997,24.0,"UEL, Premier League",Manchester United,England,RB,,8.3,9.5,8.6,-9.9,1.7,1.7,0.6,45.2,3.1,0.0
Aarón Martín,-0.004,-0.007,0.003,2.5,1997,25.0,Bundesliga,Mainz 05,Spain,WB,LB,10.7,10.7,9.3,14.2,1.0,1.5,5.2,37.6,3.8,0.0
Abakar Sylla,-0.045,-0.03,-0.015,1.33,2002,19.0,"UCL, Belgian Pro League",Club Brugge,Côte d'Ivoire,CB,,4.9,7.6,8.2,-2.3,1.8,1.2,0.5,51.9,2.4,0.0
Abass Issah,-0.043,-0.04,-0.003,1.44,1998,23.0,Primeira Liga,Chaves,Ghana,RW,"LW, ST, LM, RM",11.2,8.5,8.4,-0.7,1.0,1.0,0.6,44.5,4.9,0.0
Abbas Ibrahim,-0.05,-0.035,-0.015,0.33,1998,24.0,Primeira Liga,Paços de Ferreira,Nigeria,DM,"LB, CM",10.2,10.4,8.6,-3.4,1.3,1.3,0.9,50.0,3.9,0.0
Abdallah Sima,-0.011,-0.015,0.004,2.39,2001,21.0,Ligue 1,Angers,Senegal,ST,"AM, RW, RM",11.0,6.9,8.6,-1.9,0.6,1.0,0.5,42.9,4.2,0.0
