Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Aaron Cresswell,0.023,0.002,0.022,4.24,1989,31.0,"UEL, Premier League",West Ham,England,LB,CB,6.9,12.9,11.4,0.9,1.6,1.0,5.6,54.4,3.1,0.0
Aaron Hickey,0.023,-0.01,0.033,4.38,2002,19.0,Serie A,Bologna,Scotland,WB,"LB, CB, LW",8.3,7.9,8.8,17.2,1.3,1.3,0.5,42.2,3.9,0.0
Aaron Lennon,-0.005,-0.025,0.02,2.08,1987,34.0,Premier League,Burnley,England,ST,"RM, LM",11.3,9.2,7.8,1.4,1.0,1.3,0.6,39.2,3.7,0.0
Aaron Meijers,-0.087,-0.075,-0.013,0.53,1987,33.0,Eredivisie,Sparta Rotterdam,Netherlands,LB,"RM, WB",10.4,10.7,10.3,-3.6,1.0,1.6,1.1,48.3,3.6,0.0
Aaron Ramsdale,0.048,0.011,0.037,5.37,1998,23.0,Premier League,Arsenal,England,GK,,2.2,2.4,9.3,-3.1,0.4,0.4,0.6,54.5,1.3,1.6
Aaron Ramsey,0.025,0.026,-0.001,1.72,1990,30.0,"UEL, Serie A","Juventus, Rangers",Wales,CM,"ST, LM",11.2,9.4,9.1,-7.9,1.2,1.1,1.4,48.7,4.2,0.0
Aaron Wan-Bissaka,0.072,0.018,0.054,3.46,1997,23.0,"Premier League, UCL",Manchester United,England,RB,WB,8.3,9.7,9.7,-5.1,2.1,2.0,0.5,41.8,2.9,0.0
Aarón Escandell,0.026,0.026,0.0,0.46,1995,25.0,La Liga,Granada,Spain,GK,,8.0,7.8,9.8,-3.1,1.1,1.0,1.0,50.0,3.1,6.1
Aarón Martín,0.005,-0.017,0.022,3.26,1997,24.0,Bundesliga,Mainz 05,Spain,WB,LB,8.9,8.6,10.0,-3.0,1.1,1.5,4.9,47.6,3.5,0.0
Abdel Jalil Medioub,-0.028,-0.011,-0.017,0.73,1997,23.0,Ligue 1,Bordeaux,Algeria,CB,,6.8,7.6,8.4,-3.6,1.6,1.1,0.9,57.1,2.7,0.0
Abdelhamid Sabiri,-0.025,-0.024,-0.001,1.07,1996,24.0,Serie A,Sampdoria,Morocco,ST,"AM, LM",12.7,9.8,9.8,4.8,1.2,1.7,1.8,50.0,5.2,0.0
Abdelkahar Kadri,-0.042,-0.055,0.014,1.54,2000,21.0,Belgian Pro League,Kortrijk,Algeria,AM,"DM, LM, RM, CM",11.0,10.6,10.4,-8.4,1.5,1.7,4.7,40.1,4.3,0.0
Abdessamad Ezzalzouli,0.03,0.022,0.007,0.93,2001,19.0,La Liga,Barcelona,Morocco,LW,RW,10.7,9.8,9.9,-4.4,1.5,1.4,0.8,45.7,4.8,0.0
Abdou Diallo,0.021,0.018,0.003,1.35,1996,25.0,"Ligue 1, UCL",Paris Saint-Germain,Senegal,LB,"CB, WB",5.9,8.6,9.6,-3.6,1.6,1.6,0.7,58.2,2.5,0.0
Abdou Harroui,0.014,0.01,0.004,0.8,1998,23.0,Serie A,"Sparta Rotterdam, Sassuolo",Netherlands,DM,"LW, LM, RM, CM",10.3,10.6,9.0,-5.6,1.2,1.3,0.9,45.3,4.0,0.0
Abdoul-Fessal Tapsoba,-0.029,-0.028,-0.001,0.83,2001,19.0,Belgian Pro League,Standard Liège,Burkina Faso,ST,"AM, LW, LM, RM",11.9,7.7,8.9,-8.4,1.0,1.7,0.8,47.3,4.4,0.0
Abdoulaye Ba,-0.052,-0.038,-0.014,1.42,1991,30.0,Primeira Liga,"Moreirense, Arouca",Senegal,CB,,6.5,7.0,8.0,-7.4,2.0,1.2,0.7,62.7,2.4,0.0
Abdoulaye Bakayoko,-0.013,-0.013,0.0,0.39,2002,18.0,Ligue 1,Saint-Étienne,France,CB,,8.7,8.1,9.5,-3.1,2.0,1.6,1.0,50.0,3.4,0.0
Abdoulaye Bamba,-0.022,-0.016,-0.006,0.56,1990,31.0,Ligue 1,Angers,Côte d'Ivoire,RB,"RW, WB",9.5,8.7,9.0,-4.1,1.6,1.2,0.9,51.0,3.4,0.0
Abdoulaye Doucouré,0.031,0.003,0.028,4.12,1993,28.0,Premier League,Everton,Mali,CM,"DM, RM",11.3,11.0,8.2,-3.8,1.4,1.8,0.5,49.1,3.7,0.0
Abdoulaye Seck,-0.032,-0.029,-0.003,1.54,1992,29.0,Belgian Pro League,Antwerp,Senegal,CB,,5.8,7.4,9.1,-4.4,1.5,1.1,0.6,58.2,2.6,0.0
Abdoulaye Sissako,-0.04,-0.034,-0.006,1.38,1998,23.0,Belgian Pro League,Zulte Waregem,France,CM,DM,9.4,10.3,8.3,1.4,1.4,1.5,0.6,54.5,3.5,0.0
Abdoulaye Touré,-0.025,-0.019,-0.006,0.52,1994,27.0,Serie A,Genoa,Guinea,CM,"DM, RM",8.7,9.1,8.6,-3.6,1.2,1.1,0.9,51.1,3.6,0.0
Abdoulie Sanyang,-0.039,-0.041,0.002,0.44,1999,22.0,Belgian Pro League,Beerschot Wilrijk,Gambia,RW,"AM, RM, CM",9.9,10.7,9.5,-1.5,1.2,1.6,0.9,42.3,4.4,0.0
Abdourahmane Barry,-0.019,-0.008,-0.011,0.26,2000,21.0,Bundesliga,Greuther Fürth,Guinea,RB,,9.6,9.4,9.5,-3.1,1.4,1.4,1.1,53.6,3.6,0.0
Abdu Conté,-0.043,-0.062,0.019,2.88,1998,23.0,Primeira Liga,"Moreirense, Troyes",Portugal,LB,"CB, LM, WB",9.1,11.5,10.2,-5.6,0.8,1.1,0.6,50.0,2.8,0.0
Abdul Majeed Waris,0.026,0.024,0.002,0.51,1991,29.0,Ligue 1,Strasbourg,Ghana,ST,"CB, CM, WB",11.2,10.1,9.4,0.9,1.0,1.2,1.0,46.6,4.7,0.0
Abdul Mumin,-0.023,-0.034,0.012,2.69,1998,23.0,Primeira Liga,Vitória,Ghana,CB,,4.5,7.1,7.7,-7.4,1.8,1.4,0.4,52.5,2.3,0.0
Abdón Prats,0.006,0.007,-0.0,0.92,1992,28.0,La Liga,Mallorca,Spain,ST,"AM, DM",11.5,8.4,9.3,4.3,0.9,0.9,1.6,50.5,4.7,0.0
Abel Camará,-0.018,-0.025,0.007,1.94,1990,31.0,Primeira Liga,Belenenses SAD,Guinea-Bissau,ST,"RW, RM",12.2,8.2,8.8,-6.3,1.0,1.1,0.5,40.0,5.9,0.0
Abel Ruiz,0.005,-0.012,0.017,1.97,2000,21.0,"Primeira Liga, UEL",Braga,Spain,ST,AM,10.1,7.5,7.5,0.8,0.7,0.7,0.5,30.7,3.7,0.0
Ablie Jallow,-0.028,-0.041,0.014,2.19,1998,22.0,Belgian Pro League,R.F.C. Seraing,Gambia,RW,"AM, LM, RM, CM",14.0,13.9,9.1,0.8,0.8,1.3,1.0,32.0,4.8,0.0
Aboubakary Koita,-0.029,-0.026,-0.002,1.34,1998,22.0,Belgian Pro League,Sint-Truiden,Mauritania,WB,"LB, AM, LW, ST, CM",14.7,11.0,8.6,0.4,1.4,1.4,2.4,44.5,5.3,0.0
Achraf El Bouchataoui,-0.068,-0.058,-0.01,0.32,2000,21.0,Eredivisie,RKC Waalwijk,Netherlands,CM,"AM, DM",11.0,11.3,10.7,-5.6,1.2,1.2,1.6,47.6,4.1,0.0
Achraf Hakimi,0.116,0.051,0.065,5.61,1998,22.0,"Ligue 1, UCL",Paris Saint-Germain,Morocco,RB,"RM, WB",8.0,8.1,9.0,4.1,1.4,2.1,0.5,39.5,3.1,0.0
Achraf Lazaar,-0.063,-0.042,-0.021,0.22,1992,29.0,Primeira Liga,Portimonense,Morocco,LB,,8.5,8.4,9.2,-4.6,1.5,1.5,1.3,57.0,3.6,0.0
Adam Armstrong,0.047,0.037,0.01,2.46,1997,24.0,Premier League,Southampton,England,ST,"AM, LM",11.7,8.6,7.8,-13.0,0.7,0.7,0.6,43.1,4.5,0.0
Adam Forshaw,0.025,0.003,0.022,2.41,1991,29.0,Premier League,Leeds United,England,DM,CM,10.3,9.8,8.3,-5.6,1.4,1.5,0.8,50.0,3.5,0.0
Adam Hložek,-0.03,-0.029,-0.001,0.0,2002,19.0,UEL,Sparta Prague,Czechia,ST,AM,11.4,9.4,9.2,-0.0,1.0,0.8,0.9,48.2,3.8,0.0
Adam Idah,0.011,0.005,0.006,0.91,2001,20.0,Premier League,Norwich City,Ireland,ST,"AM, RW, LW",11.8,8.6,9.6,-8.8,1.1,1.2,1.1,43.1,4.3,0.0
Adam Lallana,0.054,0.01,0.043,2.8,1988,33.0,Premier League,Brighton,England,CM,"AM, DM, ST",8.9,9.2,8.0,-8.4,1.3,1.3,0.6,55.9,3.6,0.0
Adam Maher,-0.041,-0.062,0.021,2.97,1993,28.0,Eredivisie,Utrecht,Netherlands,DM,"CB, CM",8.6,13.7,12.5,-3.0,2.0,1.9,8.3,52.6,4.3,0.0
Adam Marušić,0.026,0.003,0.023,4.32,1992,28.0,"UEL, Serie A",Lazio,Montenegro,LB,RB,6.0,9.0,8.4,1.0,1.8,0.9,0.6,57.2,2.2,0.0
