Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Marash Kumbulla,0.028,0.012,0.016,2.17,2000,20.0,"UEL, Serie A",Roma,Albania,CB,,5.2,6.9,7.6,-0.5,2.0,1.2,0.6,57.1,2.7,0.0
Marc Albrighton,0.039,0.026,0.012,2.93,1989,30.0,"UEL, Premier League",Leicester City,England,WB,"AM, RW, RB, RM",14.0,10.4,11.9,-4.8,1.3,1.2,1.3,33.2,4.5,0.0
Marc Bartra,0.017,0.016,0.001,2.56,1991,29.0,La Liga,Real Betis,Spain,CB,,5.4,5.7,8.9,-6.0,2.3,1.2,0.4,56.3,2.5,0.0
Marc Cucurella,-0.022,-0.045,0.023,3.96,1998,22.0,La Liga,Getafe,Spain,LW,"LB, LM",14.2,11.3,9.8,2.8,1.5,1.8,0.8,44.6,4.1,0.0
Marc Roca,0.032,0.022,0.01,0.29,1996,23.0,"Bundesliga, UCL",Bayern Munich,Spain,DM,LW,8.2,10.7,8.7,-4.1,1.4,1.0,0.9,45.6,3.6,0.0
Marc-André ter Stegen,0.094,0.039,0.055,5.86,1992,28.0,"La Liga, UCL",Barcelona,Germany,GK,,2.2,1.8,5.2,-3.6,0.4,0.3,0.4,58.9,1.2,1.1
Marc-Aurèle Caillard,-0.033,-0.009,-0.023,0.41,1994,26.0,Ligue 1,Metz,France,GK,,7.4,7.1,8.6,-3.1,1.1,0.9,1.2,51.3,2.9,5.2
Marc-Oliver Kempf,0.03,0.009,0.021,4.39,1995,25.0,Bundesliga,Stuttgart,Germany,CB,,6.7,11.9,9.1,1.5,2.4,1.1,0.5,62.3,2.8,0.0
Marc-Olivier Doué,-0.071,-0.067,-0.004,0.17,2000,19.0,Eredivisie,Zwolle,France,CB,RB,8.5,9.1,8.9,-3.1,2.0,1.4,1.4,47.6,3.4,0.0
Marcel Halstenberg,0.045,0.03,0.015,2.85,1991,28.0,"Bundesliga, UCL, Euros","Germany, RB Leipzig",Germany,CB,LB,10.6,12.6,9.5,-3.9,1.3,1.1,1.2,65.2,3.6,0.0
